point,branch,stabilator_deg,A_alphadot_alpha,A_alphadot_beta,A_alphadot_p,A_alphadot_q,A_alphadot_r,A_alphadot_theta,A_alphadot_phi,A_alphadot_V,A_betadot_alpha,A_betadot_beta,A_betadot_p,A_betadot_q,A_betadot_r,A_betadot_theta,A_betadot_phi,A_betadot_V,A_pdot_alpha,A_pdot_beta,A_pdot_p,A_pdot_q,A_pdot_r,A_pdot_theta,A_pdot_phi,A_pdot_V,A_qdot_alpha,A_qdot_beta,A_qdot_p,A_qdot_q,A_qdot_r,A_qdot_theta,A_qdot_phi,A_qdot_V,A_rdot_alpha,A_rdot_beta,A_rdot_p,A_rdot_q,A_rdot_r,A_rdot_theta,A_rdot_phi,A_rdot_V,A_thetadot_alpha,A_thetadot_beta,A_thetadot_p,A_thetadot_q,A_thetadot_r,A_thetadot_theta,A_thetadot_phi,A_thetadot_V,A_phidot_alpha,A_phidot_beta,A_phidot_p,A_phidot_q,A_phidot_r,A_phidot_theta,A_phidot_phi,A_phidot_V,A_Vdot_alpha,A_Vdot_beta,A_Vdot_p,A_Vdot_q,A_Vdot_r,A_Vdot_theta,A_Vdot_phi,A_Vdot_V
1,symmetric,-9.9227237701416016,-0.40075519656014413,0,0,1,0,-0.0032269547560068485,0,-0.00053231550708478248,0,-0.063546438355418081,0.23228194524050214,0,-0.971730570221945,0,0.091672837269113169,0,0,-45.105248661529366,-0.581152061492602,0,0.80412839449905782,0,0,0,-2.1707899242990676,0,0,1.8096090520778572,0,0,0,-6.13355148151606E-06,0,5.8649799234062128,0.012382524373000437,0,-0.24626510551242317,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.27503229768259319,0,0,0,-33.480586634376436,0,0,0,0,-32.155463124024628,0,-0.035035213100873264
2,symmetric,-10.045441627502441,-0.3988837502052916,0,0,1,0,-0.0030664743397342954,0,-0.0005356174653269501,0,-0.062586667398075821,0.23392224613395088,0,-0.97134465935948766,0,0.091974278153912917,0,0,-44.758576920640557,-0.57037999477782952,0,0.80099343373531229,0,0,0,-2.164819781860452,0,0,1.7150368432110812,0,0,0,-6.1536307349258E-06,0,5.7252339219423947,0.012326471529324173,0,-0.24728279568737591,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.27492690078003845,0,0,0,-33.850678226542193,0,0,0,0,-32.157370141187734,0,-0.035474562274739246
3,symmetric,-10.169815063476563,-0.39701643045366436,0,0,1,0,-0.002901638129004258,0,-0.00053894776346458833,0,-0.061619145957905762,0.23558086141521822,0,-0.9709516887152374,0,0.092278076917951452,0,0,-44.409837856952151,-0.55991068972960956,0,0.79773174020019466,0,0,0,-2.1587909533542669,0,0,1.595960656321308,0,0,0,-6.1735896283922776E-06,0,5.5854193673701946,0.012243315374573656,0,-0.24829534151476468,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.27480512940155283,0,0,0,-34.2242731135926,0,0,0,0,-32.159207324555211,0,-0.035923082178102847
4,symmetric,-10.295862197875977,-0.39513366595240018,0,0,1,0,-0.0027323329595314414,0,-0.00054230663120438064,0,-0.060643794047953434,0.23725810173966153,0,-0.97055150565239512,0,0.0925842664607812,0,0,-44.059000903706973,-0.54978188579559162,0,0.79434024337768727,0,0,0,-2.1527024287814287,0,0,1.4496671674621837,0,0,0,-6.1939551732423025E-06,0,5.4455353138717522,0.012132377658130506,0,-0.24930136341278597,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.27466655699052911,0,0,0,-34.600233259343824,0,0,0,0,-32.1609692619312,0,-0.036380996348667052
5,symmetric,-10.411916732788086,-0.39342852140283252,0,0,1,0,-0.002574453233517193,0,-0.00054538512743633862,0,-0.059750277211488123,0.2387992079297386,0,-0.97018133339026413,0,0.0928647230745921,0,0,-43.7382254303051,-0.5409037898104343,0,0.79114173907297314,0,0,0,-2.1471146112783126,0,0,1.2905688646604681,0,0,0,-6.2126543788794863E-06,0,5.318311290895064,0.012006858272829407,0,-0.25020894279847761,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.27452564959361292,0,0,0,-34.94536085179876,0,0,0,0,-32.16250085508598,0,-0.036805609506012013
6,symmetric,-10.541207313537598,-0.39154146297161785,0,0,1,0,-0.0023963226726732923,0,-0.00054879910250624914,0,-0.058759847441015957,0.24051264344941212,0,-0.96976700320723175,0,0.093175568474614778,0,0,-43.383328553179176,-0.53154144939172954,0,0.78749371828627734,0,0,0,-2.1409092428212357,0,0,1.0838651097220264,0,0,0,-6.2328666164337716E-06,0,5.1783045731470638,0.01184105684542335,0,-0.25119808730597415,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.27435386081784174,0,0,0,-35.327256666951932,0,0,0,0,-32.16410283444862,0,-0.037282038774454559
7,symmetric,-10.660237312316895,-0.38981316630690283,0,0,1,0,-0.0022302272834561938,0,-0.00055192805074962589,0,-0.0578525233388924,0.24208712640962185,0,-0.96938371858478412,0,0.093460314456055335,0,0,-43.058824418792376,-0.52343539802721106,0,0.78405688074140378,0,0,0,-2.1352134135192093,0,0,0.864276651622368,0,0,0,-6.2518543869185824E-06,0,5.050971898233497,0.011664608536650046,0,-0.25208766970842839,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.27418201551617982,0,0,0,-35.6761814973927,0,0,0,0,-32.165478875674786,0,-0.037723861121429107
8,symmetric,-10.780705451965332,-0.38808470706765952,0,0,1,0,-0.0020600898555144368,0,-0.00055508127418835271,0,-0.056938561502566216,0.24367781072240172,0,-0.96899401648429162,0,0.0937471419820173,0,0,-42.732520856543132,-0.5157543069754823,0,0.78050278153596941,0,0,0,-2.1294648601430253,0,0,0.61156722335834435,0,0,0,-6.2707016510841723E-06,0,4.9235907042539893,0.011463197474554316,0,-0.25296668281417334,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.273994975032786,0,0,0,-36.027586332793128,0,0,0,0,-32.166773265985029,0,-0.0381741436695472
9,symmetric,-10.902619361877441,-0.3863603472439664,0,0,1,0,-0.001885821943492239,0,-0.00055825887828356573,0,-0.0560179503013838,0.24528486118208714,0,-0.96859779087123732,0,0.094036078280567023,0,0,-42.4044024668332,-0.50853895921319436,0,0.77682913228730732,0,0,0,-2.1236625326336891,0,0,0.32264243130622561,0,0,0,-6.2896497458146486E-06,0,4.7961657888155171,0.011236400905156268,0,-0.25383378263391143,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.27379236796327111,0,0,0,-36.3820138002504,0,0,0,0,-32.167980854143835,0,-0.038633045702068616
10,symmetric,-11.025996208190918,-0.38462209331458597,0,0,1,0,-0.0017073275659836682,0,-0.00056146110264216861,0,-0.055090605242362409,0.24690855422893615,0,-0.968194906940541,0,0.094327149538781435,0,0,-42.0744509812176,-0.50183223713880365,0,0.77303338188680282,0,0,0,-2.1178061577693188,0,0,-0.0058717558402970613,0,0,0,-6.308923662715462E-06,0,4.6686950553706312,0.010983796427195859,0,-0.25468762665511752,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.27357387708798231,0,0,0,-36.737632704892455,0,0,0,0,-32.169096303466773,0,-0.03910077604757968
11,symmetric,-11.150844573974609,-0.38288134310127209,0,0,1,0,-0.0015245177831404125,0,-0.0005646879829387802,0,-0.0541565481108006,0.24854903685759175,0,-0.96778525993731224,0,0.094620383470114047,0,0,-41.742653962110907,-0.49568065691440905,0,0.7691132256259261,0,0,0,-2.1118945989310904,0,0,-0.37759269990362992,0,0,0,-6.3278744798709484E-06,0,4.5411867639382324,0.010705014225065609,0,-0.25552668385180377,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.27333913203807031,0,0,0,-37.095411515388847,0,0,0,0,-32.170113989903221,0,-0.039577484847787774
12,symmetric,-11.277177810668945,-0.38113201737660946,0,0,1,0,-0.0013372977174981363,0,-0.00056793974613026581,0,-0.053215702674948656,0.25020656733596125,0,-0.96736871563601945,0,0.09491580630785626,0,0,-41.408992053647523,-0.4901334238247898,0,0.76506611037036532,0,0,0,-2.1059269969206169,0,0,-0.79647275902468262,0,0,0,-6.3472417251133369E-06,0,4.4136387813591638,0.010399688668453477,0,-0.25634959540499785,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.2730878345565092,0,0,0,-37.45496989983512,0,0,0,0,-32.171028082098353,0,-0.04006338160025387
13,symmetric,-11.3921537399292,-0.37955416535325553,0,0,1,0,-0.0011649565947668568,0,-0.00057088766534389853,0,-0.052363141917051888,0.2517130280756158,0,-0.96698784324017184,0,0.095183581222365726,0,0,-41.107094250770608,-0.48570115000808406,0,0.76131323431522557,0,0,0,-2.1005073959624823,0,0,-1.1728611956849442,0,0,0,-6.3648889972202527E-06,0,4.298817286495086,0.010101937130121665,0,-0.257075051422473,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.27284722793547722,0,0,0,-37.780095977655073,0,0,0,0,-32.171757144554533,0,-0.040508676136405686
14,symmetric,-11.521334648132324,-0.37779991447256844,0,0,1,0,-0.00096909654864366015,0,-0.00057418698309044994,0,-0.051409379721974569,0.25340345119022062,0,-0.9665578707394864,0,0.095483240351416448,0,0,-40.769855991045631,-0.48145033256057412,0,0.75701834868321372,0,0,0,-2.0944311523702894,0,0,-1.5280474194244247,0,0,0,-6.3845436022778937E-06,0,4.1712089675537776,0.0097453276723012041,0,-0.25786290084605418,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.272563484757981,0,0,0,-38.143346552315833,0,0,0,0,-32.172457434794516,0,-0.041012516585124392
15,symmetric,-11.678354263305664,-0.37568079602649096,0,0,1,0,-0.00072787066658010246,0,-0.0005781794483622609,0,-0.050255841930656742,0.25545523736602693,0,-0.96603231860869931,0,0.095845829275320885,0,0,-40.362661190968964,-0.47736725193854812,0,0.75168761813575113,0,0,0,-2.0870624204723591,0,0,-1.8704638873253507,0,0,0,-6.4079046912664031E-06,0,4.0180438342200713,0.0092812387889488635,0,-0.25878071106604134,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.27219981245751079,0,0,0,-38.580719284716693,0,0,0,0,-32.173136223595776,0,-0.041629972785997879
16,symmetric,-11.824220657348633,-0.37373281668576064,0,0,1,0,-0.00050066552431133064,0,-0.00058187136150944551,0,-0.049189727117234149,0.25735868005650847,0,-0.96554118640911346,0,0.096181115881102161,0,0,-39.986965967734562,-0.47468901043855039,0,0.746627978221715,0,0,0,-2.0802325568942512,0,0,-2.1083403762906232,0,0,0,-6.4300972288823866E-06,0,3.877611471803394,0.008820870971038711,0,-0.25959327629055245,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.27184371457549683,0,0,0,-38.983576134415131,0,0,0,0,-32.173594089131221,0,-0.042208584719773748
17,symmetric,-11.985470771789551,-0.37160011393450365,0,0,1,0,-0.00024601310931075658,0,-0.00058593399947846046,0,-0.04801723801483064,0.25946014851927718,0,-0.96499497659485711,0,0.096550107638161881,0,0,-39.574456107855518,-0.47303934822001575,0,0.74091600030999694,0,0,0,-2.072698908782491,0,0,-2.2902648012949647,0,0,0,-6.4538303255887512E-06,0,3.7243913151349712,0.0082802943977701854,0,-0.2604455269794223,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.271429885074195,0,0,0,-39.424869182857421,0,0,0,0,-32.173902721573754,0,-0.042853830293262875
18,symmetric,-12.135242462158203,-0.36964127157521148,0,0,1,0,-6.2074508156835177E-06,0,-0.00058969053979050952,0,-0.046933727207909684,0.26140971588903877,0,-0.96448452689141506,0,0.09689134721759847,0,0,-39.193859493550619,-0.47279927138396932,0,0.73550002565679962,0,0,0,-2.0657154932415547,0,0,-2.3910438687761513,0,0,0,-6.4761587980378045E-06,0,3.5839227722665403,0.0077494493113899115,0,-0.26119284356149913,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.27102680895566006,0,0,0,-39.831236122106027,0,0,0,0,-32.173999937939996,0,-0.043458485355651826
19,symmetric,-12.28690242767334,-0.36767474799184263,0,0,1,0,0.00023984071396247755,0,-0.00059347820190027746,0,-0.045841869056277594,0.2633818367152892,0,-0.9639645405232089,0,0.097235492886938987,0,0,-38.810888206655932,-0.47388491736083177,0,0.72990878500476042,0,0,0,-2.0586568697460446,0,0,-2.4339496979739415,0,0,0,-6.4984620443958309E-06,0,3.4434455685174346,0.0071847799345153172,0,-0.26190521090850349,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.27060059209275539,0,0,0,-40.238992410198819,0,0,0,0,-32.173908802383849,0,-0.044076027516281605
20,symmetric,-12.440461158752441,-0.36570424057681278,0,0,1,0,0.00049227198364542311,0,-0.00059729711178042,0,-0.044741664423478822,0.26537673260183403,0,-0.96343484624508158,0,0.097582585422338622,0,0,-38.425536090369434,-0.47640975708576822,0,0.72413915282078933,0,0,0,-2.0515221635203913,0,0,-2.4244290984438956,0,0,0,-6.5208020477853611E-06,0,3.3029672604095235,0.0065863342513599286,0,-0.262580040607068,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.27015071352083031,0,0,0,-40.647773799217504,0,0,0,0,-32.173618449746165,0,-0.044706718481964891
21,symmetric,-12.595928192138672,-0.3637292155961272,0,0,1,0,0.00075122873359541071,0,-0.00060114738298212345,0,-0.043633118427848991,0.26739473485934723,0,-0.96289523898149521,0,0.097932662864060244,0,0,-38.037787891641543,-0.48049535662346377,0,0.71818812404879939,0,0,0,-2.0443103373050628,0,0,-2.3682928218585282,0,0,0,-6.5432480605690424E-06,0,3.1624956261834423,0.0059542602163871047,0,-0.26321477142693278,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.26967677853168426,0,0,0,-41.057780508752835,0,0,0,0,-32.1731175666215,0,-0.045350847901307945
22,symmetric,-12.753315925598145,-0.3617399970503935,0,0,1,0,0.0010168619045575857,0,-0.00060502919005840021,0,-0.042516199549626342,0.26943615580565378,0,-0.96234551495147624,0,0.098285765768716865,0,0,-37.647623121677348,-0.4862722249660883,0,0.712052666892883,0,0,0,-2.0370201962733421,0,0,-2.2717297170226849,0,0,0,-6.5663654011068E-06,0,3.0220341729865381,0.0052887853264589144,0,-0.26380671572794367,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.26917830436203422,0,0,0,-41.46794561962075,0,0,0,0,-32.172394357382821,0,-0.046008721417193019
23,symmetric,-12.898069381713867,-0.35992527576468641,0,0,1,0,0.0012642583157101578,0,-0.00060858545504266471,0,-0.041493609992945935,0.27131251961630037,0,-0.96183682686512506,0,0.098609427025933574,0,0,-37.290831529737808,-0.49310846827744692,0,0.70631257084218779,0,0,0,-2.0303241472576072,0,0,-2.1544047858792639,0,0,0,-6.587062532203011E-06,0,2.8943623422110027,0.0046551535761546027,0,-0.26430537620427347,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.26870349433244289,0,0,0,-41.841043086041367,0,0,0,0,-32.171533675899461,0,-0.046618926507217752
