path,parameter,table_point,converged,stabilator_deg,alpha_deg,V_ft_s,phi_deg,critical_real_per_s,critical_lateral_fraction,shape_alpha,shape_beta,shape_p,shape_q,shape_r,shape_theta,shape_phi,shape_V
symmetric,357.40000000000003,0,true,-8.0461349487304688,11.913799285888672,357.40000000000003,0,-0.024785270077021606,1.000000,0.000000,0.002005,-0.046451,0.000000,0.078884,0.000000,1.000000,0.000000
symmetric,367.40000000000003,0,true,-7.2230544090271,11.220370292663576,367.40000000000003,0,-0.0099946945464687229,1.000000,0.000000,0.001791,-0.031782,0.000000,0.079761,0.000000,1.000000,0.000000
symmetric,372.40000000000003,0,true,-6.8484582901000977,10.897335052490234,372.40000000000003,0,-0.0045131755619463821,1.000000,0.000000,0.001689,-0.026227,0.000000,0.079784,0.000000,1.000000,0.000000
symmetric,375.40000000000003,0,true,-6.6346163749694824,10.710531234741211,375.40000000000003,0,-0.0017152400704900247,1.000000,0.000000,0.001630,-0.023352,0.000000,0.079698,0.000000,1.000000,0.000000
symmetric,376.40000000000003,0,true,-6.5650835037231445,10.649388313293457,376.40000000000003,0,-0.00085569109179222465,1.000000,0.000000,0.001611,-0.022462,0.000000,0.079655,0.000000,1.000000,0.000000
symmetric,376.90000000000003,0,true,-6.5305962562561035,10.619016647338867,376.90000000000003,0,-0.00043873429020169804,1.000000,0.000000,0.001602,-0.022030,0.000000,0.079632,0.000000,1.000000,0.000000
symmetric,377.20000000000005,0,true,-6.51006555557251,10.600872039794922,377.20000000000005,0,-0.00019284565415655596,1.000000,0.000000,0.001596,-0.021774,0.000000,0.079617,0.000000,1.000000,0.000000
symmetric,377.3,0,true,-6.503232479095459,10.594832420349121,377.3,0,-0.00011151000555694583,1.000000,0.000000,0.001594,-0.021689,0.000000,0.079611,0.000000,1.000000,0.000000
symmetric,377.35,0,true,-6.4998183250427246,10.591814994812012,377.35,0,-7.0971136678767732E-05,1.000000,0.000000,0.001593,-0.021647,0.000000,0.079609,0.000000,1.000000,0.000000
symmetric,377.40000000000003,0,true,-6.4964056015014648,10.588798522949219,377.40000000000003,0,-3.0511566685229584E-05,1.000000,0.000000,0.001592,-0.021605,0.000000,0.079606,0.000000,1.000000,0.000000
symmetric,377.45000000000005,0,true,-6.4929938316345215,10.585783958435059,377.45000000000005,0,9.8612846721807062E-06,1.000000,0.000000,0.001591,-0.021563,0.000000,0.079604,0.000000,1.000000,0.000000
symmetric,377.50000000000006,0,true,-6.4895834922790527,10.582769393920898,377.50000000000006,0,5.0175614799215111E-05,1.000000,0.000000,0.001590,-0.021521,0.000000,0.079601,0.000000,1.000000,0.000000
symmetric,377.6,0,true,-6.4827671051025391,10.57674503326416,377.6,0,0.00013053764046712323,1.000000,0.000000,0.001588,-0.021437,0.000000,0.079596,0.000000,1.000000,0.000000
symmetric,377.90000000000003,0,true,-6.4623503684997559,10.558700561523438,377.90000000000003,0,0.00036973412353267777,1.000000,0.000000,0.001583,-0.021188,0.000000,0.079579,0.000000,1.000000,0.000000
symmetric,378.40000000000003,0,true,-6.42857027053833,10.528753280639648,378.40000000000003,0,0.00076159109693766671,1.000000,0.000000,0.001573,-0.020779,0.000000,0.079551,0.000000,1.000000,0.000000
symmetric,379.40000000000003,0,true,-6.36156702041626,10.469245910644531,379.40000000000003,0,0.0015218595316165474,1.000000,0.000000,0.001555,-0.019982,0.000000,0.079490,0.000000,1.000000,0.000000
symmetric,382.40000000000003,0,true,-6.1654353141784668,10.293886184692383,382.40000000000003,0,0.0036229889530261057,1.000000,0.000000,0.001501,-0.017762,0.000000,0.079273,0.000000,1.000000,0.000000
symmetric,387.40000000000003,0,true,-5.8541579246521,10.011781692504883,387.40000000000003,0,0.0065892388557341952,1.000000,0.000000,0.001417,-0.014566,0.000000,0.078821,0.000000,1.000000,0.000000
symmetric,397.40000000000003,0,true,-5.285548210144043,9.4830303192138672,397.40000000000003,0,0.010910024426273878,1.000000,0.000000,0.001268,-0.009704,0.000000,0.077662,0.000000,1.000000,0.000000
phi-,-20,0,true,-6.4616203308105469,10.557924270629885,389.75473022460938,-20,-0.00054762090490069416,0.953763,-0.000067,0.001190,-0.018048,-0.055175,0.068877,0.113392,1.000000,-0.181169
phi-,-10,0,true,-6.4793190956115723,10.574471473693848,380.50588989257813,-10,-0.00019716650093471906,0.988846,-0.000172,0.001483,-0.020779,-0.027728,0.076886,0.055188,1.000000,-0.086815
phi-,-5,0,true,-6.4869871139526367,10.58074951171875,378.24493408203125,-5,-8.75908545634037E-05,0.997238,-0.000113,0.001562,-0.021410,-0.013885,0.078908,0.027434,1.000000,-0.042928
phi-,-2,0,true,-6.491239070892334,10.584284782409668,377.58840942382813,-2,-3.2287420324685306E-05,0.999559,-0.000052,0.001585,-0.021563,-0.005557,0.079485,0.010962,1.000000,-0.017107
phi-,-1,0,true,-6.4925642013549805,10.585418701171875,377.48440551757813,-1,-1.54530256210948E-05,0.999890,-0.000027,0.001589,-0.021577,-0.002779,0.079571,0.005481,1.000000,-0.008547
phi-,-0.5,0,true,-6.4933433532714844,10.586095809936523,377.451904296875,-0.5,-8.9748094518701126E-06,0.999972,-0.000014,0.001591,-0.021579,-0.001389,0.079595,0.002741,1.000000,-0.004272
phi-,-0.2,0,true,-6.493619441986084,10.586337089538574,377.44195556640625,-0.2,-3.0422614266726091E-06,0.999996,-0.000006,0.001591,-0.021576,-0.000556,0.079602,0.001096,1.000000,-0.001709
phi-,-0.1,0,true,-6.4937491416931152,10.586451530456543,377.439208984375,-0.1,-1.5466364454390052E-06,0.999999,-0.000003,0.001591,-0.021575,-0.000278,0.079603,0.000548,1.000000,-0.000854
phi-,-0.05,0,true,-6.4938163757324219,10.58651065826416,377.43801879882813,-0.05,-8.2550989101592174E-07,1.000000,-0.000001,0.001591,-0.021574,-0.000139,0.079604,0.000274,1.000000,-0.000427
phi-,-0.02,0,true,-6.493865966796875,10.586554527282715,377.43722534179688,-0.02,-6.0883866745622653E-07,1.000000,-0.000001,0.001591,-0.021574,-0.000056,0.079604,0.000110,1.000000,-0.000171
phi-,-0.01,0,true,-6.4938998222351074,10.586584091186523,377.43673706054688,-0.01,-8.8648524491041637E-07,1.000000,0.000000,0.001591,-0.021574,-0.000028,0.079604,0.000055,1.000000,-0.000085
phi-,-0.001,0,true,-6.4940838813781738,10.586747169494629,377.43402099609375,-0.001,-3.0233642030462471E-06,1.000000,0.000000,0.001591,-0.021576,-0.000003,0.079604,0.000005,1.000000,-0.000009
phi-,-0.0001,0,true,-6.4948363304138184,10.587411880493164,377.42300415039063,-0.0001,-1.1931627130166597E-05,1.000000,0.000000,0.001592,-0.021586,0.000000,0.079605,0.000001,1.000000,-0.000001
phi+,20,0,true,-6.4616203308105469,10.557924270629885,389.75473022460938,20,-0.00054761986151965515,0.953763,0.000067,0.001190,-0.018048,0.055175,0.068877,-0.113392,1.000000,0.181169
phi+,10,0,true,-6.4793057441711426,10.574458122253418,380.5062255859375,10,-0.00019697913295052991,0.988846,0.000172,0.001483,-0.020779,0.027727,0.076886,-0.055188,1.000000,0.086815
phi+,5,0,true,-6.4870390892028809,10.580799102783203,378.24395751953125,5,-8.8263592140295176E-05,0.997238,0.000113,0.001562,-0.021410,0.013885,0.078908,-0.027433,1.000000,0.042928
phi+,2,0,true,-6.4912385940551758,10.584283828735352,377.58843994140625,2,-3.2277401334866886E-05,0.999559,0.000052,0.001585,-0.021563,0.005557,0.079485,-0.010962,1.000000,0.017107
phi+,1,0,true,-6.492581844329834,10.58543586730957,377.484130859375,1,-1.5684818086945752E-05,0.999890,0.000027,0.001589,-0.021577,0.002779,0.079571,-0.005481,1.000000,0.008547
phi+,0.5,0,true,-6.4932327270507813,10.585997581481934,377.45355224609375,0.5,-7.6502628532420931E-06,0.999972,0.000014,0.001591,-0.021578,0.001389,0.079595,-0.002741,1.000000,0.004272
phi+,0.2,0,true,-6.4936208724975586,10.586338996887207,377.44192504882813,0.2,-3.0640483022815905E-06,0.999996,0.000006,0.001591,-0.021576,0.000556,0.079602,-0.001096,1.000000,0.001709
phi+,0.1,0,true,-6.4937539100646973,10.586455345153809,377.43914794921875,0.1,-1.5896614523173457E-06,0.999999,0.000003,0.001591,-0.021575,0.000278,0.079603,-0.000548,1.000000,0.000854
phi+,0.05,0,true,-6.4938244819641113,10.586518287658691,377.43789672851563,0.05,-9.2864250802722176E-07,1.000000,0.000001,0.001591,-0.021574,0.000139,0.079604,-0.000274,1.000000,0.000427
phi+,0.02,0,true,-6.4938998222351074,10.586584091186523,377.43673706054688,0.02,-1.0115434882375321E-06,1.000000,0.000001,0.001591,-0.021574,0.000056,0.079604,-0.000110,1.000000,0.000171
phi+,0.01,0,true,-6.493964672088623,10.586641311645508,377.435791015625,0.01,-1.6497224745902562E-06,1.000000,0.000000,0.001591,-0.021575,0.000028,0.079604,-0.000055,1.000000,0.000085
phi+,0.001,0,true,-6.4944767951965332,10.5870943069458,377.42828369140625,0.001,-7.6816068705012936E-06,1.000000,0.000000,0.001592,-0.021581,0.000003,0.079605,-0.000005,1.000000,0.000009
phi+,0.0001,0,true,-6.4951448440551758,10.587684631347656,377.41848754882813,0.0001,-1.5582780029071094E-05,1.000000,0.000000,0.001592,-0.021589,0.000000,0.079605,-0.000001,1.000000,0.000001
table,-7.968,159,true,-6.4825072288513184,10.577091217041016,379.40829467773438,-7.9680000000000009,-0.00014959210071023785,0.992950,-0.000155,0.001521,-0.021093,-0.022109,0.077867,0.043843,1.000000,-0.068812
table,-6.512,160,true,-6.4847354888916016,10.578909873962402,378.77304077148438,-6.512,-0.00011823842126533403,0.995304,-0.000137,0.001543,-0.021269,-0.018077,0.078436,0.035773,1.000000,-0.056062
table,-5.056,161,true,-6.4869046211242676,10.580681800842285,378.26211547851563,-5.056,-8.8692365183651707E-05,0.997175,-0.000114,0.001561,-0.021405,-0.014040,0.078893,0.027742,1.000000,-0.043413
table,-3.599,162,true,-6.489011287689209,10.582418441772461,377.87393188476563,-3.5990000000000006,-6.0844424573686412E-05,0.998571,-0.000087,0.001575,-0.021502,-0.009997,0.079237,0.019733,1.000000,-0.030837
table,-2.142,163,true,-6.4910445213317871,10.58411979675293,377.60784912109375,-2.142,-3.4723990595599187E-05,0.999495,-0.000055,0.001585,-0.021559,-0.005951,0.079469,0.011740,1.000000,-0.018324
table,-0.6844,164,true,-6.4929928779602051,10.585788726806641,377.46319580078125,-0.6844,-1.0546740700980142E-05,0.999948,-0.000019,0.001590,-0.021578,-0.001902,0.079588,0.003752,1.000000,-0.005848
table,377.40000000000003,165,true,-6.4964056015014648,10.588798522949219,377.40000000000003,0,-3.0511566685229584E-05,1.000000,0.000000,0.001592,-0.021605,0.000000,0.079606,0.000000,1.000000,0.000000
table,1.457,166,true,-6.491971492767334,10.584908485412598,377.52474975585938,1.457,-2.3091436329000532E-05,0.999766,0.000039,0.001588,-0.021573,0.004048,0.079539,-0.007986,1.000000,0.012457
table,2.914,167,true,-6.4899773597717285,10.583222389221191,377.73367309570313,2.914,-4.8338416201693922E-05,0.999064,0.000073,0.001580,-0.021534,0.008095,0.079360,-0.015974,1.000000,0.024948
table,4.371,168,true,-6.4879035949707031,10.581502914428711,378.0643310546875,4.371,-7.5400055533585492E-05,0.997891,0.000102,0.001568,-0.021456,0.012140,0.079069,-0.023974,1.000000,0.037492
table,5.828,169,true,-6.4857621192932129,10.579747200012207,378.51760864257813,5.828,-0.00010414192657063995,0.996243,0.000126,0.001552,-0.021338,0.016181,0.078665,-0.031996,1.000000,0.050108
table,7.284,170,true,-6.4835610389709473,10.577951431274414,379.09426879882813,7.284,-0.00013461968313850978,0.994116,0.000147,0.001532,-0.021180,0.020216,0.078149,-0.040046,1.000000,0.062808
table,8.74,171,true,-6.4813032150268555,10.576105117797852,379.79620361328125,8.74,-0.00016703890115798829,0.991504,0.000162,0.001507,-0.020983,0.024245,0.077520,-0.048140,1.000000,0.075620
