point,branch,stabilator_deg,V_ft_s,alpha_deg,beta_deg,p_rad_s,q_rad_s,r_rad_s,theta_deg,phi_deg,mode,real_per_s,imag_rad_s,natural_frequency_rad_s,damping_ratio,lateral_fraction,mode_classification,equilibrium_classification,unstable_count,source_classification,agreement,fd_step_spread,fd_scaled_difference,zero_band,print_spread,tracking_ambiguity
1,symmetric,-9.9227237701416016,338.4,13.432950973510742,0,0,0,0,15.377971649169922,0,A+,0.72514789775439437,0.96866728496810561,1.2100230504354448,-0.59928436693287712,0.000000,UNSTABLE,UNSTABLE,2,STABLE (Table VII caption),DISAGREE,5.537E-006,4.103E-006,3.836E-005,2.762E-003,0.0480
1,symmetric,-9.9227237701416016,338.4,13.432950973510742,0,0,0,0,15.377971649169922,0,A-,0.72514789775439437,-0.96866728496810561,1.2100230504354448,-0.59928436693287712,0.000000,UNSTABLE,UNSTABLE,2,STABLE (Table VII caption),DISAGREE,5.537E-006,4.103E-006,3.836E-005,2.762E-003,0.0480
1,symmetric,-9.9227237701416016,338.4,13.432950973510742,0,0,0,0,15.377971649169922,0,B+,-0.038238576545976108,0.15393012924422006,0.15860855407387323,0.24108773180143978,0.000000,STABLE,UNSTABLE,2,STABLE (Table VII caption),DISAGREE,2.807E-006,7.092E-007,1.169E-005,6.021E-005,0.0068
1,symmetric,-9.9227237701416016,338.4,13.432950973510742,0,0,0,0,15.377971649169922,0,B-,-0.038238576545976108,-0.15393012924422006,0.15860855407387323,0.24108773180143978,0.000000,STABLE,UNSTABLE,2,STABLE (Table VII caption),DISAGREE,2.807E-006,7.092E-007,1.169E-005,6.021E-005,0.0068
1,symmetric,-9.9227237701416016,338.4,13.432950973510742,0,0,0,0,15.377971649169922,0,C+,-0.19023153346059252,4.0124532006874265,4.0169601347324253,0.047357087718089608,1.000000,STABLE,UNSTABLE,2,STABLE (Table VII caption),DISAGREE,3.699E-005,5.642E-006,9.538E-006,8.281E-004,0.0056
1,symmetric,-9.9227237701416016,338.4,13.432950973510742,0,0,0,0,15.377971649169922,0,C-,-0.19023153346059252,-4.0124532006874265,4.0169601347324253,0.047357087718089608,1.000000,STABLE,UNSTABLE,2,STABLE (Table VII caption),DISAGREE,3.699E-005,5.642E-006,9.538E-006,8.281E-004,0.0056
1,symmetric,-9.9227237701416016,338.4,13.432950973510742,0,0,0,0,15.377971649169922,0,D,-0.43771421421089479,0,0.43771421421089479,,1.000000,STABLE,UNSTABLE,2,STABLE (Table VII caption),DISAGREE,1.043E-006,1.666E-007,1.043E-005,2.974E-004,0.0177
1,symmetric,-9.9227237701416016,338.4,13.432950973510742,0,0,0,0,15.377971649169922,0,E,-0.072786324228364965,0,0.072786324228364965,,1.000000,STABLE,UNSTABLE,2,STABLE (Table VII caption),DISAGREE,1.961E-006,2.935E-007,1.961E-005,1.664E-004,0.0229
2,symmetric,-10.045441627502441,337.3,13.530109405517578,0,0,0,0,15.37235736846924,0,A+,0.67727806148108338,1.0161051133979808,1.2211368367374305,-0.55462913009044879,0.000000,UNSTABLE,UNSTABLE,2,STABLE (Table VII caption),DISAGREE,6.770E-006,6.926E-006,4.753E-005,3.395E-003,0.0604
2,symmetric,-10.045441627502441,337.3,13.530109405517578,0,0,0,0,15.37235736846924,0,A-,0.67727806148108338,-1.0161051133979808,1.2211368367374305,-0.55462913009044879,0.000000,UNSTABLE,UNSTABLE,2,STABLE (Table VII caption),DISAGREE,6.770E-006,6.926E-006,4.753E-005,3.395E-003,0.0604
2,symmetric,-10.045441627502441,337.3,13.530109405517578,0,0,0,0,15.37235736846924,0,B+,-0.036938796115556519,0.15306920323416756,0.15746318819714514,0.23458686781642488,0.000000,STABLE,UNSTABLE,2,STABLE (Table VII caption),DISAGREE,3.165E-006,7.599E-007,1.243E-005,8.282E-005,0.0099
2,symmetric,-10.045441627502441,337.3,13.530109405517578,0,0,0,0,15.37235736846924,0,B-,-0.036938796115556519,-0.15306920323416756,0.15746318819714514,0.23458686781642488,0.000000,STABLE,UNSTABLE,2,STABLE (Table VII caption),DISAGREE,3.165E-006,7.599E-007,1.243E-005,8.282E-005,0.0099
2,symmetric,-10.045441627502441,337.3,13.530109405517578,0,0,0,0,15.37235736846924,0,C+,-0.18623283417112732,3.9945892613618339,3.9989281108205348,0.046570688196971473,1.000000,STABLE,UNSTABLE,2,STABLE (Table VII caption),DISAGREE,3.718E-005,5.605E-006,9.076E-006,8.366E-004,0.0058
2,symmetric,-10.045441627502441,337.3,13.530109405517578,0,0,0,0,15.37235736846924,0,C-,-0.18623283417112732,-3.9945892613618339,3.9989281108205348,0.046570688196971473,1.000000,STABLE,UNSTABLE,2,STABLE (Table VII caption),DISAGREE,3.718E-005,5.605E-006,9.076E-006,8.366E-004,0.0058
2,symmetric,-10.045441627502441,337.3,13.530109405517578,0,0,0,0,15.37235736846924,0,D,-0.43129085616614687,0,0.43129085616614687,,1.000000,STABLE,UNSTABLE,2,STABLE (Table VII caption),DISAGREE,1.044E-006,1.408E-007,1.044E-005,2.869E-004,0.0176
2,symmetric,-10.045441627502441,337.3,13.530109405517578,0,0,0,0,15.37235736846924,0,E,-0.076492933354880749,0,0.076492933354880749,,1.000000,STABLE,UNSTABLE,2,STABLE (Table VII caption),DISAGREE,1.974E-006,3.114E-007,1.974E-005,1.707E-004,0.0235
3,symmetric,-10.169815063476563,336.2,13.628369331359863,0,0,0,0,15.365870475769041,0,A+,0.61674280024363926,1.0704588502299317,1.2354164608292837,-0.4992185386858497,0.000000,UNSTABLE,UNSTABLE,2,STABLE (Table VII caption),DISAGREE,4.870E-006,2.253E-006,2.279E-005,4.031E-003,0.0726
3,symmetric,-10.169815063476563,336.2,13.628369331359863,0,0,0,0,15.365870475769041,0,A-,0.61674280024363926,-1.0704588502299317,1.2354164608292837,-0.4992185386858497,0.000000,UNSTABLE,UNSTABLE,2,STABLE (Table VII caption),DISAGREE,4.870E-006,2.253E-006,2.279E-005,4.031E-003,0.0726
3,symmetric,-10.169815063476563,336.2,13.628369331359863,0,0,0,0,15.365870475769041,0,B+,-0.03523222839886847,0.15190534629755148,0.15593762904356687,0.225937951057503,0.000000,STABLE,UNSTABLE,2,STABLE (Table VII caption),DISAGREE,2.787E-006,1.160E-007,9.671E-006,1.064E-004,0.0131
3,symmetric,-10.169815063476563,336.2,13.628369331359863,0,0,0,0,15.365870475769041,0,B-,-0.03523222839886847,-0.15190534629755148,0.15593762904356687,0.225937951057503,0.000000,STABLE,UNSTABLE,2,STABLE (Table VII caption),DISAGREE,2.787E-006,1.160E-007,9.671E-006,1.064E-004,0.0131
3,symmetric,-10.169815063476563,336.2,13.628369331359863,0,0,0,0,15.365870475769041,0,C+,-0.18221424574888589,3.97653402977196,3.9807065856815242,0.045774347299121408,1.000000,STABLE,UNSTABLE,2,STABLE (Table VII caption),DISAGREE,3.717E-005,5.606E-006,8.984E-006,8.453E-004,0.0060
3,symmetric,-10.169815063476563,336.2,13.628369331359863,0,0,0,0,15.365870475769041,0,C-,-0.18221424574888589,-3.97653402977196,3.9807065856815242,0.045774347299121408,1.000000,STABLE,UNSTABLE,2,STABLE (Table VII caption),DISAGREE,3.717E-005,5.606E-006,8.984E-006,8.453E-004,0.0060
3,symmetric,-10.169815063476563,336.2,13.628369331359863,0,0,0,0,15.365870475769041,0,D,-0.4251071619945232,0,0.4251071619945232,,1.000000,STABLE,UNSTABLE,2,STABLE (Table VII caption),DISAGREE,1.010E-006,1.520E-007,1.010E-005,2.756E-004,0.0174
3,symmetric,-10.169815063476563,336.2,13.628369331359863,0,0,0,0,15.365870475769041,0,E,-0.08028952370998621,0,0.08028952370998621,,1.000000,STABLE,UNSTABLE,2,STABLE (Table VII caption),DISAGREE,2.003E-006,3.118E-007,2.003E-005,1.746E-004,0.0240
4,symmetric,-10.295862197875977,335.1,13.727749824523926,0,0,0,0,15.358488082885742,0,A+,0.54221012010182235,1.1300074856253988,1.2533589796663478,-0.4326056053359606,0.000000,UNSTABLE,UNSTABLE,2,STABLE (Table VII caption),DISAGREE,7.299E-006,2.164E-006,3.706E-005,4.673E-003,0.0847
4,symmetric,-10.295862197875977,335.1,13.727749824523926,0,0,0,0,15.358488082885742,0,A-,0.54221012010182235,-1.1300074856253988,1.2533589796663478,-0.4326056053359606,0.000000,UNSTABLE,UNSTABLE,2,STABLE (Table VII caption),DISAGREE,7.299E-006,2.164E-006,3.706E-005,4.673E-003,0.0847
4,symmetric,-10.295862197875977,335.1,13.727749824523926,0,0,0,0,15.358488082885742,0,B+,-0.033133867521264793,0.15038849407755203,0.15399529969395376,0.21516155095067302,0.000000,STABLE,UNSTABLE,2,STABLE (Table VII caption),DISAGREE,3.264E-006,8.226E-008,1.074E-005,1.303E-004,0.0163
4,symmetric,-10.295862197875977,335.1,13.727749824523926,0,0,0,0,15.358488082885742,0,B-,-0.033133867521264793,-0.15038849407755203,0.15399529969395376,0.21516155095067302,0.000000,STABLE,UNSTABLE,2,STABLE (Table VII caption),DISAGREE,3.264E-006,8.226E-008,1.074E-005,1.303E-004,0.0163
4,symmetric,-10.295862197875977,335.1,13.727749824523926,0,0,0,0,15.358488082885742,0,C+,-0.17818785633290013,3.9582819282856176,3.9622905920612412,0.044970920782517423,1.000000,STABLE,UNSTABLE,2,STABLE (Table VII caption),DISAGREE,3.732E-005,5.556E-006,8.685E-006,8.542E-004,0.0062
4,symmetric,-10.295862197875977,335.1,13.727749824523926,0,0,0,0,15.358488082885742,0,C-,-0.17818785633290013,-3.9582819282856176,3.9622905920612412,0.044970920782517423,1.000000,STABLE,UNSTABLE,2,STABLE (Table VII caption),DISAGREE,3.732E-005,5.556E-006,8.685E-006,8.542E-004,0.0062
4,symmetric,-10.295862197875977,335.1,13.727749824523926,0,0,0,0,15.358488082885742,0,D,-0.419182592911161,0,0.419182592911161,,1.000000,STABLE,UNSTABLE,2,STABLE (Table VII caption),DISAGREE,9.932E-007,1.449E-007,9.932E-006,2.634E-004,0.0172
4,symmetric,-10.295862197875977,335.1,13.727749824523926,0,0,0,0,15.358488082885742,0,E,-0.084168737679369984,0,0.084168737679369984,,1.000000,STABLE,UNSTABLE,2,STABLE (Table VII caption),DISAGREE,2.034E-006,3.075E-007,2.034E-005,1.781E-004,0.0245
5,symmetric,-10.411916732788086,334.1,13.819079399108887,0,0,0,0,15.350980758666992,0,A+,0.461085426036408,1.1868683426447979,1.2732856053830128,-0.36212254665182553,0.000000,UNSTABLE,UNSTABLE,2,STABLE (Table VII caption),DISAGREE,4.532E-006,2.520E-006,2.483E-005,5.266E-003,0.0872
