branch,from_point,to_point,step_over_neighbour_mean
symmetric,48,49,0.999992
symmetric,49,50,1.000027
symmetric,50,1,1.000017
symmetric,1,2,1.000000
symmetric,2,3,1.000032
symmetric,3,4,0.999985
symmetric,4,5,1.000000
symmetric,5,6,1.000050
symmetric,6,7,1.000000
symmetric,7,8,1.000005
symmetric,8,9,1.000000
symmetric,9,10,1.000025
symmetric,10,11,0.999980
symmetric,11,12,1.000031
symmetric,12,13,1.000020
symmetric,13,14,0.888924
symmetric,14,15,1.111241
symmetric,15,16,1.000009
symmetric,16,17,1.000004
symmetric,17,18,1.000016
symmetric,18,19,1.000014
symmetric,19,20,0.999991
symmetric,20,21,1.000014
symmetric,21,22,1.000000
symmetric,22,23,1.000005
symmetric,23,24,1.000036
symmetric,24,25,0.999973
symmetric,25,26,1.000032
symmetric,26,27,0.999953
symmetric,27,28,1.000062
symmetric,28,29,0.888977
symmetric,29,30,1.111292
symmetric,30,31,0.999991
symmetric,31,32,1.000004
symmetric,32,33,1.000004
symmetric,33,34,1.000007
symmetric,34,35,0.999987
symmetric,35,36,1.000003
symmetric,36,37,0.999987
symmetric,37,38,1.000007
symmetric,38,39,1.000000
symmetric,39,40,0.889003
symmetric,40,41,1.111323
symmetric,41,42,0.999965
symmetric,42,43,0.999994
symmetric,43,44,0.999968
symmetric,44,45,1.000025
turning,118,119,0.919294
turning,119,120,0.933464
turning,120,121,0.948748
turning,121,122,0.961939
turning,122,123,1.412712
turning,123,124,0.214914
turning,124,125,1.835313
turning,125,126,0.983860
turning,126,127,0.986385
turning,127,128,0.987429
turning,128,129,0.988433
turning,129,130,0.988389
turning,130,131,0.988620
turning,131,132,0.988630
turning,132,133,0.988524
turning,133,134,0.988360
turning,134,135,1.381717
turning,135,136,0.319296
turning,136,137,1.635038
turning,137,138,0.988991
turning,138,139,0.989362
turning,139,140,0.989385
turning,140,141,0.990450
turning,141,142,0.990514
turning,142,143,0.990757
turning,143,144,0.992749
turning,144,145,0.990954
turning,145,146,0.992880
turning,146,147,0.992919
turning,147,148,0.993825
turning,148,149,0.992556
turning,149,150,0.994381
turning,150,151,0.994197
turning,151,152,0.994571
turning,152,153,0.995192
turning,153,154,0.995206
turning,154,155,0.996003
turning,155,156,0.996175
turning,156,157,0.996259
turning,157,158,0.999587
turning,158,159,0.996769
turning,159,160,1.000403
turning,160,161,0.998428
turning,161,162,1.002706
turning,162,163,1.000336
turning,163,164,1.343316
turning,164,165,0.460312
turning,165,166,1.330609
turning,166,167,1.003228
turning,167,168,1.001677
turning,168,169,0.998681
turning,169,170,1.001523
turning,170,171,0.997142
turning,171,172,0.998654
turning,172,173,0.094077
turning,173,174,10.629338
turning,174,175,0.240331
turning,175,176,0.990140
turning,176,177,0.990919
turning,177,178,0.989695
turning,178,179,0.989217
turning,179,180,0.989618
turning,180,181,1.435956
turning,181,182,0.466245
turning,182,183,1.268414
turning,183,184,0.987975
turning,184,185,0.988718
turning,185,186,0.988669
turning,186,187,0.988406
turning,187,188,0.988781
turning,188,189,0.988152
turning,189,190,0.987996
turning,190,191,0.986732
turning,191,192,0.984829
turning,192,193,1.653443
turning,193,194,0.317524
turning,194,195,1.333258
turning,195,196,0.964379
turning,196,197,0.951862
turning,197,198,0.936842
turning,198,199,0.921973
turning,199,200,0.914409
