case,dt_s,measured_sigma,measured_omega,trajectory_gap_to_dt4_relative
A20-A,0.01,-1.4113208026974993,0.99977013375566071,8.967E-006
A20-A,0.005,-1.4115066931341609,0.99974899561621078,5.115E-006
A20-A,0.0025,-1.4114325407871953,0.99976302486385094,0.000E+000
A20-B,0.05,-0.0059926172961977369,0.11459416761524484,1.770E-005
A20-B,0.025,-0.0059925725764913979,0.11459422487727364,7.871E-006
A20-B,0.0125,-0.0059926064283090065,0.11459414917810941,0.000E+000
B47-A,0.01,0.81391039513549779,0.8689762722095804,1.440E-006
B47-A,0.005,0.81391052494239291,0.86897613355342607,2.112E-006
B47-A,0.0025,0.81391118730639,0.86897630727206787,0.000E+000
C117-C,0.01,-0.48872361061925923,7.9630112540106852,6.299E-004
C117-C,0.005,-0.48872735864604216,7.9630190852899005,2.726E-004
C117-C,0.0025,-0.48872717587479114,7.9630168433182931,0.000E+000
D130-E,0.1,0.011652530062455847,0,1.647E-007
D130-E,0.05,0.011652533956737087,0,4.478E-007
D130-E,0.025,0.011652534930404605,0,0.000E+000
F382.4,0.1,0.0036229477399274427,0,1.557E-005
F382.4,0.05,0.0036229477396541275,0,2.305E-005
F382.4,0.025,0.0036229477392743523,0,0.000E+000
