case,group,equilibrium,mode,amplitude,dt_s,duration_s,window_end_s,window_samples,predicted_re_per_s,predicted_im_rad_s,measured_sigma_modal,measured_omega_modal,measured_sigma_state,measured_omega_state,dominant_state,zero_crossings,extrema,wp3d_uncertainty,rate_error,rate_band,rate_agrees,frequency_error,frequency_band,frequency_agrees,reference_amplitude
A20-A,A,table_vii_20,A+,1E-06,0.01,8,1.62,82,-1.4114271001332619,0.99973820985176942,-1.4118976287959468,0.99954424124544083,,,alpha,0,0,5.648E-006,0.00047052866268493254,1.731E-002,,0.00019396860632858726,5.016E-003,,false
A20-A,A,table_vii_20,A+,1E-05,0.01,8,3.24,163,-1.4114271001332619,0.99973820985176942,-1.4135696296353677,1.0014281835549304,,,alpha,1,1,5.648E-006,0.0021425295021058055,1.731E-002,,0.0016899737031609297,5.016E-003,,false
A20-A,A,table_vii_20,A+,0.0001,0.01,8,3.2600000000000002,164,-1.4114271001332619,0.99973820985176942,-1.4113208026974993,0.99977013375566071,,,alpha,1,1,5.648E-006,0.00010629743576262562,1.731E-002,true,3.1923903891284411E-05,5.016E-003,true,true
A20-A,A,table_vii_20,A+,0.001,0.01,8,3.2600000000000002,164,-1.4114271001332619,0.99973820985176942,-1.4114124024831136,1.0000627755361622,,,alpha,1,1,5.648E-006,1.4697650148276509E-05,1.731E-002,,0.00032456568439276356,5.016E-003,,false
A20-B,A,table_vii_20,B+,1E-06,0.05,400,363.70000000000005,3638,-0.00599292861807665,0.11459443162221541,-0.006405692168350261,0.112987353554923,-0.00638002227723576,0.11304302175957263,V,13,14,7.796E-007,0.00041276355027361055,1.150E-003,,0.0016070780672924195,5.753E-004,,false
A20-B,A,table_vii_20,B+,1E-05,0.05,400,400,4001,-0.00599292861807665,0.11459443162221541,-0.0059913522138923215,0.11456984672661329,-0.0059970662785489683,0.11457470018326463,V,15,14,7.796E-007,1.5764041843288959E-06,1.150E-003,,2.4584895602128287E-05,5.753E-004,,false
A20-B,A,table_vii_20,B+,0.0001,0.05,400,400,4001,-0.00599292861807665,0.11459443162221541,-0.0059926172961977369,0.11459416761524484,-0.0059926400296905396,0.11459481412030188,V,15,14,7.796E-007,3.113218789135147E-07,1.150E-003,true,2.6400697057671341E-07,5.753E-004,true,true
A20-B,A,table_vii_20,B+,0.001,0.05,400,400,4001,-0.00599292861807665,0.11459443162221541,-0.0059930635450552838,0.11459423952440054,-0.0059930522851620585,0.11459425426142889,V,15,14,7.796E-007,1.3492697863333458E-07,1.150E-003,,1.9209781487727895E-07,5.753E-004,,false
A20-C,A,table_vii_20,C+,1E-06,0.01,12,12,601,-0.13070963574053832,3.650412083874409,-0.13070929364982936,3.6503931846546691,-0.13070894877725855,3.6503965817346238,p,14,13,6.703E-007,3.4209070895463434E-07,3.653E-002,,1.889921973985409E-05,1.825E-002,,false
A20-C,A,table_vii_20,C+,1E-05,0.01,12,12,601,-0.13070963574053832,3.650412083874409,-0.13070941779275821,3.6504001653171834,-0.13070930287774576,3.6504036964356184,p,14,13,6.703E-007,2.1794778010120197E-07,3.653E-002,,1.1918557225598647E-05,1.825E-002,,false
A20-C,A,table_vii_20,C+,0.0001,0.01,12,12,601,-0.13070963574053832,3.650412083874409,-0.13071064890310835,3.6504699336638611,-0.13071283192575536,3.6504748053999236,p,14,13,6.703E-007,1.01316257003492E-06,3.653E-002,true,5.78497894521135E-05,1.825E-002,true,true
A20-C,A,table_vii_20,C+,0.001,0.01,12,12,601,-0.13070963574053832,3.650412083874409,-0.13072296826093471,3.6511639806765177,-0.13074807069567337,3.651182074006551,p,14,13,6.703E-007,1.3332520396397429E-05,3.653E-002,,0.00075189680210874243,1.825E-002,,false
A20-D,A,table_vii_20,D,1E-06,0.01,15,6.0200000000000005,302,-0.38161975887056093,0,-0.38162012485170865,0,-0.38161932528009429,0,phi,0,0,7.415E-007,3.6598114772079526E-07,3.819E-003,,,,,false
A20-D,A,table_vii_20,D,1E-05,0.01,15,12.06,604,-0.38161975887056093,0,-0.381620117529164,0,-0.38161819915789835,0,phi,0,0,7.415E-007,3.5865860309458597E-07,3.819E-003,,,,,false
A20-D,A,table_vii_20,D,0.0001,0.01,15,12.06,604,-0.38161975887056093,0,-0.38162011303352722,0,-0.38161825449941228,0,phi,0,0,7.415E-007,3.5416296628731914E-07,3.819E-003,true,,,,true
A20-D,A,table_vii_20,D,0.001,0.01,15,12.06,604,-0.38161975887056093,0,-0.3816200705803095,0,-0.38161879764587286,0,phi,0,0,7.415E-007,3.117097485683118E-07,3.819E-003,,,,,false
A20-E,A,table_vii_20,E,1E-06,0.01,40,16.35,328,-0.14069243176467947,0,-0.14069142513713545,0,-0.14069163032831805,0,phi,0,0,2.032E-006,1.0066275440145933E-06,1.413E-003,,,,,false
A20-E,A,table_vii_20,E,1E-05,0.01,40,32.7,655,-0.14069243176467947,0,-0.14069143080106347,0,-0.14069150554695459,0,phi,0,0,2.032E-006,1.0009636159935553E-06,1.413E-003,,,,,false
A20-E,A,table_vii_20,E,0.0001,0.01,40,32.7,655,-0.14069243176467947,0,-0.14069146758737483,0,-0.1406915550774476,0,phi,0,0,2.032E-006,9.64177304635383E-07,1.413E-003,true,,,,true
A20-E,A,table_vii_20,E,0.001,0.01,40,32.7,655,-0.14069243176467947,0,-0.14069181507583087,0,-0.14069202865745903,0,phi,0,0,2.032E-006,6.1668884859811257E-07,1.413E-003,,,,,false
