sign,t_s,alpha_deg,beta_deg,p_rad_s,q_rad_s,r_rad_s,theta_deg,phi_deg,V_ft_s,heading_rate_rad_s
+,0,1.029388618E+001,8.601353624E-006,-1.776171801E-006,-3.108731565E-045,7.927333416E-006,1.509671211E+001,5.729577951E-003,3.824000000E+002,8.210704680E-006
+,40,1.029388695E+001,9.942926929E-006,-2.053147148E-006,1.683599446E-009,9.163732989E-006,1.509670987E+001,6.623194719E-003,3.823999954E+002,9.491300802E-006
+,80,1.029388695E+001,1.149368032E-005,-2.373369566E-006,-1.416919764E-009,1.059296025E-005,1.509671152E+001,7.656185476E-003,3.823999854E+002,1.097161701E-005
+,120,1.029388695E+001,1.328628818E-005,-2.743534414E-006,1.560023882E-009,1.224508978E-005,1.509671264E+001,8.850281903E-003,3.823999930E+002,1.268280420E-005
+,160,1.029388695E+001,1.535846830E-005,-3.171430139E-006,3.660653119E-009,1.415488399E-005,1.509671117E+001,1.023060847E-002,3.823999980E+002,1.466086636E-005
+,200,1.029388695E+001,1.775381934E-005,-3.666060893E-006,2.451264142E-009,1.636252517E-005,1.509671078E+001,1.182620744E-002,3.823999935E+002,1.694742180E-005
+,240,1.029388695E+001,2.052273803E-005,-4.237833471E-006,3.561076200E-009,1.891445951E-005,1.509671157E+001,1.367064885E-002,3.823999942E+002,1.959057806E-005
+,280,1.029388695E+001,2.372347462E-005,-4.898777312E-006,6.721474566E-009,2.186437560E-005,1.509671125E+001,1.580273675E-002,3.823999998E+002,2.264594287E-005
+,320,1.029388695E+001,2.742336493E-005,-5.662798208E-006,8.174341973E-009,2.527433285E-005,1.509671047E+001,1.826732519E-002,3.824000018E+002,2.617779301E-005
+,360,1.029388695E+001,3.170024061E-005,-6.545969986E-006,9.815287871E-009,2.921606430E-005,1.509671036E+001,2.111626050E-002,3.824000033E+002,3.026042629E-005
+,400,1.029388695E+001,3.664406353E-005,-7.566871501E-006,1.386903610E-008,3.377248447E-005,1.509671015E+001,2.440947061E-002,3.824000091E+002,3.497972192E-005
+,440,1.029388695E+001,4.235881678E-005,-8.746978106E-006,1.936724967E-008,3.903943220E-005,1.509670932E+001,2.821622437E-002,3.824000162E+002,4.043494434E-005
+,480,1.029388634E+001,4.896469236E-005,-1.011111305E-005,2.350842162E-008,4.512768231E-005,1.509670793E+001,3.261658622E-002,3.824000248E+002,4.674082662E-005
+,520,1.029388610E+001,5.660061390E-005,-1.168796840E-005,3.260449287E-008,5.216527246E-005,1.509670753E+001,3.770309773E-002,3.824000319E+002,5.402998720E-005
+,560,1.029388611E+001,6.542712856E-005,-1.351070611E-005,4.594682206E-008,6.030018638E-005,1.509670641E+001,4.358271797E-002,3.824000507E+002,6.245569972E-005
+,600,1.029388611E+001,7.562982425E-005,-1.561765711E-005,6.129068336E-008,6.970346585E-005,1.509670376E+001,5.037906997E-002,3.824000719E+002,7.219511844E-005
+,640,1.029388610E+001,8.742316888E-005,-1.805312548E-005,8.040506687E-008,8.057279132E-005,1.509670113E+001,5.823503213E-002,3.824000961E+002,8.345299213E-005
+,680,1.029388610E+001,1.010550332E-004,-2.086831050E-005,1.071871373E-007,9.313662294E-005,1.509669802E+001,6.731573156E-002,3.824001321E+002,9.646595204E-005
+,720,1.029388610E+001,1.168118664E-004,-2.412239248E-005,1.442576906E-007,1.076589918E-004,1.509669319E+001,7.781200371E-002,3.824001815E+002,1.115074717E-004
+,760,1.029388525E+001,1.350247073E-004,-2.788375886E-005,1.941658133E-007,1.244450185E-004,1.509668664E+001,8.994438628E-002,3.824002485E+002,1.288935848E-004
+,800,1.029388524E+001,1.560760834E-004,-3.223145007E-005,2.562076145E-007,1.438473029E-004,1.509667792E+001,1.039677327E-001,3.824003291E+002,1.489894961E-004
+,840,1.029388440E+001,1.804079855E-004,-3.725679649E-005,3.435944068E-007,1.662732673E-004,1.509666712E+001,1.201765318E-001,3.824004457E+002,1.722172204E-004
+,880,1.029388431E+001,2.085311217E-004,-4.306533991E-005,4.569913991E-007,1.921936861E-004,1.509665202E+001,1.389110593E-001,3.824005963E+002,1.990643683E-004
+,920,1.029388330E+001,2.410355694E-004,-4.977903767E-005,6.061980920E-007,2.221524858E-004,1.509663322E+001,1.605644700E-001,3.824007749E+002,2.300943428E-004
+,960,1.029388183E+001,2.786028364E-004,-5.753876437E-005,8.206509927E-007,2.567779874E-004,1.509660639E+001,1.855909593E-001,3.824010608E+002,2.659580263E-004
+,1000,1.029388013E+001,3.220203458E-004,-6.650731390E-005,1.095824896E-006,2.967961065E-004,1.509656862E+001,2.145152394E-001,3.824014247E+002,3.074072989E-004
+,1040,1.029387841E+001,3.721974619E-004,-7.687274405E-005,1.459827029E-006,3.430452575E-004,1.509652186E+001,2.479433942E-001,3.824019030E+002,3.553106878E-004
+,1080,1.029387500E+001,4.301842340E-004,-8.885223376E-005,1.951723059E-006,3.964937106E-004,1.509645895E+001,2.865754120E-001,3.824025547E+002,4.106713015E-004
+,1120,1.029387157E+001,4.971932171E-004,-1.026966280E-004,2.610142834E-006,4.582596101E-004,1.509637684E+001,3.312196648E-001,3.824034106E+002,4.746475550E-004
+,1160,1.029386635E+001,5.746239621E-004,-1.186955388E-004,3.486083819E-006,5.296338140E-004,1.509625822E+001,3.828094818E-001,3.824045791E+002,5.485768685E-004
+,1200,1.029385944E+001,6.640920725E-004,-1.371834666E-004,4.646170575E-006,6.121065628E-004,1.509610980E+001,4.424224380E-001,3.824060892E+002,6.340034492E-004
+,1240,1.029384953E+001,7.674608122E-004,-1.585462459E-004,6.213054074E-006,7.073973252E-004,1.509590565E+001,5.113021463E-001,3.824081702E+002,7.327094954E-004
+,1280,1.029383713E+001,8.868804055E-004,-1.832293471E-004,8.301301526E-006,8.174904069E-004,1.509563155E+001,5.908838510E-001,3.824109026E+002,8.467518415E-004
+,1320,1.029382109E+001,1.024829824E-003,-2.117466380E-004,1.108056175E-005,9.446742057E-004,1.509527514E+001,6.828233524E-001,3.824145411E+002,9.785032987E-004
+,1360,1.029379830E+001,1.184164755E-003,-2.446904622E-004,1.478905022E-005,1.091587166E-003,1.509479462E+001,7.890303329E-001,3.824194376E+002,1.130700680E-003
