case,equilibrium,mode,amplitude,dt_s,duration_s,predicted_re_per_s,predicted_im_rad_s,measured_sigma,measured_omega,t_s,d_alpha_rad,d_beta_rad,d_p_rad_s,d_q_rad_s,d_r_rad_s,d_theta_rad,d_phi_rad,d_V_ft_s,modal_re,modal_im
A20-A,table_vii_20,A+,0.0001,0.01,8,-1.4114271001332619,0.99973820985176942,-1.4113208026974993,0.99977013375566071,0,1.000000000E-004,-6.315340567E-046,-8.819573856E-044,-3.813727522E-005,-1.141028995E-044,7.366544611E-005,1.108772667E-043,4.708250072E-003,2.354125036E-003,1.524533737E-016
A20-A,table_vii_20,A+,0.0001,0.01,8,-1.4114271001332619,0.99973820985176942,-1.4113208026974993,0.99977013375566071,0.06,9.522209499E-005,-7.432961083E-046,-8.819573856E-044,-4.415392069E-005,-1.141028995E-044,7.118939636E-005,1.054005725E-043,4.318159544E-003,2.159077573E-003,1.296721204E-004
A20-A,table_vii_20,A+,0.0001,0.01,8,-1.4114271001332619,0.99973820985176942,-1.4113208026974993,0.99977013375566071,0.12,9.024610332E-005,-8.871239596E-046,-8.819573856E-044,-4.879594003E-005,-1.141028997E-044,6.839446134E-005,9.992387831E-044,3.946108930E-003,1.973050689E-003,2.378544111E-004
A20-A,table_vii_20,A+,0.0001,0.01,8,-1.4114271001332619,0.99973820985176942,-1.4113208026974993,0.99977013375566071,0.18,8.515215252E-005,-1.063017609E-045,-8.819573856E-044,-5.223158134E-005,-1.141028999E-044,6.535800196E-005,9.444718409E-044,3.592970007E-003,1.796480339E-003,3.268245792E-004
A20-A,table_vii_20,A+,0.0001,0.01,8,-1.4114271001332619,0.99973820985176942,-1.4113208026974993,0.99977013375566071,0.24,8.000900956E-005,-1.270977057E-045,-8.819573857E-044,-5.461501353E-005,-1.141029002E-044,6.214770501E-005,8.897048986E-044,3.259287217E-003,1.629637722E-003,3.986991072E-004
A20-A,table_vii_20,A+,0.0001,0.01,8,-1.4114271001332619,0.99973820985176942,-1.4113208026974993,0.99977013375566071,0.3,7.487522196E-005,-1.511002300E-045,-8.819573858E-044,-5.608649982E-005,-1.141029006E-044,5.882243120E-005,8.349379563E-044,2.945331693E-003,1.472658854E-003,4.554289117E-004
A20-A,table_vii_20,A+,0.0001,0.01,8,-1.4114271001332619,0.99973820985176942,-1.4113208026974993,0.99977013375566071,0.36,6.980016579E-005,-1.783093339E-045,-8.819573859E-044,-5.677345488E-005,-1.141029010E-044,5.543300890E-005,7.801710140E-044,2.651139288E-003,1.325562334E-003,4.988102188E-004
A20-A,table_vii_20,A+,0.0001,0.01,8,-1.4114271001332619,0.99973820985176942,-1.4113208026974993,0.99977013375566071,0.42,6.482494082E-005,-2.087250174E-045,-8.819573860E-044,-5.679145462E-005,-1.141029014E-044,5.202298757E-005,7.254040718E-044,2.376542259E-003,1.188263409E-003,5.304956355E-004
A20-A,table_vii_20,A+,0.0001,0.01,8,-1.4114271001332619,0.99973820985176942,-1.4113208026974993,0.99977013375566071,0.48,5.998318979E-005,-2.423472802E-045,-8.819573861E-044,-5.624467535E-005,-1.141029018E-044,4.862932330E-005,6.706371295E-044,2.121201428E-003,1.060591894E-003,5.519962412E-004
A20-A,table_vii_20,A+,0.0001,0.01,8,-1.4114271001332619,0.99973820985176942,-1.4113208026974993,0.99977013375566071,0.54,5.530205964E-005,-2.791761225E-045,-8.819573862E-044,-5.522640634E-005,-1.141029023E-044,4.528305223E-005,6.158701873E-044,1.884647464E-003,9.423132584E-004,5.646839910E-004
