sourceSection,mach,sourceAltitude,sourceAltitudeUnit,idleThrustSource,militaryThrustSource,maximumThrustSource,sourceForceUnit,verificationPassA,verificationPassB
SI,0.2,0,m,2824,56401,95276,N,PASS_VISUAL_400DPI_PDFIUM,PASS_VISUAL_500DPI_POPPLER
SI,0.2,3048,m,1890,40699,69834,N,PASS_VISUAL_400DPI_PDFIUM,PASS_VISUAL_500DPI_POPPLER
SI,0.2,6096,m,3069,28080,49929,N,PASS_VISUAL_400DPI_PDFIUM,PASS_VISUAL_500DPI_POPPLER
SI,0.2,9144,m,4492,17970,32573,N,PASS_VISUAL_400DPI_PDFIUM,PASS_VISUAL_500DPI_POPPLER
SI,0.2,12192,m,5916,10987,19727,N,PASS_VISUAL_400DPI_PDFIUM,PASS_VISUAL_500DPI_POPPLER
SI,0.2,15240,m,7562,6227,11565,N,PASS_VISUAL_400DPI_PDFIUM,PASS_VISUAL_500DPI_POPPLER
SI,0.4,0,m,267,56089,100970,N,PASS_VISUAL_400DPI_PDFIUM,PASS_VISUAL_500DPI_POPPLER
SI,0.4,3048,m,111,41420,74993,N,PASS_VISUAL_400DPI_PDFIUM,PASS_VISUAL_500DPI_POPPLER
SI,0.4,6096,m,1535,29401,54488,N,PASS_VISUAL_400DPI_PDFIUM,PASS_VISUAL_500DPI_POPPLER
SI,0.4,9144,m,3358,19082,36269,N,PASS_VISUAL_400DPI_PDFIUM,PASS_VISUAL_500DPI_POPPLER
SI,0.4,12192,m,5026,11565,22240,N,PASS_VISUAL_400DPI_PDFIUM,PASS_VISUAL_500DPI_POPPLER
SI,0.4,15240,m,6783,6939,12610,N,PASS_VISUAL_400DPI_PDFIUM,PASS_VISUAL_500DPI_POPPLER
SI,0.6,0,m,-4537,56223,107820,N,PASS_VISUAL_400DPI_PDFIUM,PASS_VISUAL_500DPI_POPPLER
SI,0.6,3048,m,-3158,43764,84112,N,PASS_VISUAL_400DPI_PDFIUM,PASS_VISUAL_500DPI_POPPLER
SI,0.6,6096,m,-1334,31536,61204,N,PASS_VISUAL_400DPI_PDFIUM,PASS_VISUAL_500DPI_POPPLER
SI,0.6,9144,m,1557,20728,41300,N,PASS_VISUAL_400DPI_PDFIUM,PASS_VISUAL_500DPI_POPPLER
SI,0.6,12192,m,4048,12632,25354,N,PASS_VISUAL_400DPI_PDFIUM,PASS_VISUAL_500DPI_POPPLER
SI,0.6,15240,m,6049,7384,14300,N,PASS_VISUAL_400DPI_PDFIUM,PASS_VISUAL_500DPI_POPPLER
SI,0.8,0,m,-12010,55111,115959,N,PASS_VISUAL_400DPI_PDFIUM,PASS_VISUAL_500DPI_POPPLER
SI,0.8,3048,m,-8451,45263,93742,N,PASS_VISUAL_400DPI_PDFIUM,PASS_VISUAL_500DPI_POPPLER
SI,0.8,6096,m,-5782,34472,71057,N,PASS_VISUAL_400DPI_PDFIUM,PASS_VISUAL_500DPI_POPPLER
SI,0.8,9144,m,-1099,23663,49440,N,PASS_VISUAL_400DPI_PDFIUM,PASS_VISUAL_500DPI_POPPLER
SI,0.8,12192,m,2669,14456,30513,N,PASS_VISUAL_400DPI_PDFIUM,PASS_VISUAL_500DPI_POPPLER
SI,0.8,15240,m,4893,8585,17570,N,PASS_VISUAL_400DPI_PDFIUM,PASS_VISUAL_500DPI_POPPLER
SI,1.0,0,m,-16013,51953,128485,N,PASS_VISUAL_400DPI_PDFIUM,PASS_VISUAL_500DPI_POPPLER
SI,1.0,3048,m,-6227,43804,103723,N,PASS_VISUAL_400DPI_PDFIUM,PASS_VISUAL_500DPI_POPPLER
SI,1.0,6096,m,-2647,35806,81398,N,PASS_VISUAL_400DPI_PDFIUM,PASS_VISUAL_500DPI_POPPLER
SI,1.0,9144,m,-1521,27133,59977,N,PASS_VISUAL_400DPI_PDFIUM,PASS_VISUAL_500DPI_POPPLER
SI,1.0,12192,m,-890,16902,38440,N,PASS_VISUAL_400DPI_PDFIUM,PASS_VISUAL_500DPI_POPPLER
SI,1.0,15240,m,3114,10275,22494,N,PASS_VISUAL_400DPI_PDFIUM,PASS_VISUAL_500DPI_POPPLER
US_CUSTOMARY,0.2,0,ft,635,12680,21420,lb,PASS_VISUAL_400DPI_PDFIUM,PASS_VISUAL_500DPI_POPPLER
US_CUSTOMARY,0.2,10000,ft,425,9150,15700,lb,PASS_VISUAL_400DPI_PDFIUM,PASS_VISUAL_500DPI_POPPLER
US_CUSTOMARY,0.2,20000,ft,690,6313,11225,lb,PASS_VISUAL_400DPI_PDFIUM,PASS_VISUAL_500DPI_POPPLER
US_CUSTOMARY,0.2,30000,ft,1010,4040,7323,lb,PASS_VISUAL_400DPI_PDFIUM,PASS_VISUAL_500DPI_POPPLER
US_CUSTOMARY,0.2,40000,ft,1330,2470,4435,lb,PASS_VISUAL_400DPI_PDFIUM,PASS_VISUAL_500DPI_POPPLER
US_CUSTOMARY,0.2,50000,ft,1700,1400,2600,lb,PASS_VISUAL_400DPI_PDFIUM,PASS_VISUAL_500DPI_POPPLER
US_CUSTOMARY,0.4,0,ft,60,12610,22700,lb,PASS_VISUAL_400DPI_PDFIUM,PASS_VISUAL_500DPI_POPPLER
US_CUSTOMARY,0.4,10000,ft,25,9312,16860,lb,PASS_VISUAL_400DPI_PDFIUM,PASS_VISUAL_500DPI_POPPLER
US_CUSTOMARY,0.4,20000,ft,345,6610,12250,lb,PASS_VISUAL_400DPI_PDFIUM,PASS_VISUAL_500DPI_POPPLER
US_CUSTOMARY,0.4,30000,ft,755,4290,8154,lb,PASS_VISUAL_400DPI_PDFIUM,PASS_VISUAL_500DPI_POPPLER
US_CUSTOMARY,0.4,40000,ft,1130,2600,5000,lb,PASS_VISUAL_400DPI_PDFIUM,PASS_VISUAL_500DPI_POPPLER
US_CUSTOMARY,0.4,50000,ft,1525,1560,2835,lb,PASS_VISUAL_400DPI_PDFIUM,PASS_VISUAL_500DPI_POPPLER
US_CUSTOMARY,0.6,0,ft,-1020,12640,24240,lb,PASS_VISUAL_400DPI_PDFIUM,PASS_VISUAL_500DPI_POPPLER
US_CUSTOMARY,0.6,10000,ft,-710,9839,18910,lb,PASS_VISUAL_400DPI_PDFIUM,PASS_VISUAL_500DPI_POPPLER
US_CUSTOMARY,0.6,20000,ft,-300,7090,13760,lb,PASS_VISUAL_400DPI_PDFIUM,PASS_VISUAL_500DPI_POPPLER
US_CUSTOMARY,0.6,30000,ft,350,4660,9285,lb,PASS_VISUAL_400DPI_PDFIUM,PASS_VISUAL_500DPI_POPPLER
US_CUSTOMARY,0.6,40000,ft,910,2840,5700,lb,PASS_VISUAL_400DPI_PDFIUM,PASS_VISUAL_500DPI_POPPLER
US_CUSTOMARY,0.6,50000,ft,1360,1660,3215,lb,PASS_VISUAL_400DPI_PDFIUM,PASS_VISUAL_500DPI_POPPLER
US_CUSTOMARY,0.8,0,ft,-2700,12390,26070,lb,PASS_VISUAL_400DPI_PDFIUM,PASS_VISUAL_500DPI_POPPLER
US_CUSTOMARY,0.8,10000,ft,-1900,10176,21075,lb,PASS_VISUAL_400DPI_PDFIUM,PASS_VISUAL_500DPI_POPPLER
US_CUSTOMARY,0.8,20000,ft,-1300,7750,15975,lb,PASS_VISUAL_400DPI_PDFIUM,PASS_VISUAL_500DPI_POPPLER
US_CUSTOMARY,0.8,30000,ft,-247,5320,11115,lb,PASS_VISUAL_400DPI_PDFIUM,PASS_VISUAL_500DPI_POPPLER
US_CUSTOMARY,0.8,40000,ft,600,3250,6860,lb,PASS_VISUAL_400DPI_PDFIUM,PASS_VISUAL_500DPI_POPPLER
US_CUSTOMARY,0.8,50000,ft,1100,1930,3950,lb,PASS_VISUAL_400DPI_PDFIUM,PASS_VISUAL_500DPI_POPPLER
US_CUSTOMARY,1.0,0,ft,-3600,11680,28886,lb,PASS_VISUAL_400DPI_PDFIUM,PASS_VISUAL_500DPI_POPPLER
US_CUSTOMARY,1.0,10000,ft,-1400,9848,23319,lb,PASS_VISUAL_400DPI_PDFIUM,PASS_VISUAL_500DPI_POPPLER
US_CUSTOMARY,1.0,20000,ft,-595,8050,18300,lb,PASS_VISUAL_400DPI_PDFIUM,PASS_VISUAL_500DPI_POPPLER
US_CUSTOMARY,1.0,30000,ft,-342,6100,13484,lb,PASS_VISUAL_400DPI_PDFIUM,PASS_VISUAL_500DPI_POPPLER
US_CUSTOMARY,1.0,40000,ft,-200,3800,8642,lb,PASS_VISUAL_400DPI_PDFIUM,PASS_VISUAL_500DPI_POPPLER
US_CUSTOMARY,1.0,50000,ft,700,2310,5057,lb,PASS_VISUAL_400DPI_PDFIUM,PASS_VISUAL_500DPI_POPPLER
