altitudeMeters,mach,idleThrustN,militaryThrustN,maximumThrustN
0.0000,0.2,2824.480,56400.640,95276.160
3048.0000,0.2,1890.400,40699.200,69833.600
6096.0000,0.2,3069.120,28080.224,49928.800
9144.0000,0.2,4492.480,17969.920,32572.704
12192.0000,0.2,5915.840,10986.560,19726.880
15240.0000,0.2,7561.600,6227.200,11564.800
0.0000,0.4,266.880,56089.280,100969.600
3048.0000,0.4,111.200,41419.776,74993.280
6096.0000,0.4,1534.560,29401.280,54488.000
9144.0000,0.4,3358.240,19081.920,36268.992
12192.0000,0.4,5026.240,11564.800,22240.000
15240.0000,0.4,6783.200,6938.880,12610.080
0.0000,0.6,-4536.960,56222.720,107819.520
3048.0000,0.6,-3158.080,43763.872,84111.680
6096.0000,0.6,-1334.400,31536.320,61204.480
9144.0000,0.6,1556.800,20727.680,41299.680
12192.0000,0.6,4047.680,12632.320,25353.600
15240.0000,0.6,6049.280,7383.680,14300.320
0.0000,0.8,-12009.600,55110.720,115959.360
3048.0000,0.8,-8451.200,45262.848,93741.600
6096.0000,0.8,-5782.400,34472.000,71056.800
9144.0000,0.8,-1098.656,23663.360,49439.520
12192.0000,0.8,2668.800,14456.000,30513.280
15240.0000,0.8,4892.800,8584.640,17569.600
0.0000,1.0,-16012.800,51952.640,128484.928
3048.0000,1.0,-6227.200,43803.904,103722.912
6096.0000,1.0,-2646.560,35806.400,81398.400
9144.0000,1.0,-1521.216,27132.800,59976.832
12192.0000,1.0,-889.600,16902.400,38439.616
15240.0000,1.0,3113.600,10274.880,22493.536
