source_id,derived_from,configuration,alpha_deg,omega_b_over_2V,zero_replicate,dCA_dBeta_per_rad,dCN_dBeta_per_rad,dCm_dBeta_per_rad,dCY_dBeta_per_rad,dCl_dBeta_per_rad,dCn_dBeta_per_rad,delta_beta_deg,derivation,qa_status
NASA_CR_3608_DERIVED_BASIC_F18_BETA_CENTERED_SLOPE,BETA_PLUS10_MINUS_BETA_MINUS10,Basic F-18 zero-controls centered beta finite difference,0,-0.40,,-0.017189,-1.174563,0.415394,-0.962569,-0.067323,0.052712,20,[C(+10deg)-C(-10deg)]/(20deg in radians),DERIVED_MATCHED_GRID_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_BASIC_F18_BETA_CENTERED_SLOPE,BETA_PLUS10_MINUS_BETA_MINUS10,Basic F-18 zero-controls centered beta finite difference,0,-0.30,,0.000000,-0.888085,0.289344,-0.905273,-0.072193,0.054717,20,[C(+10deg)-C(-10deg)]/(20deg in radians),DERIVED_MATCHED_GRID_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_BASIC_F18_BETA_CENTERED_SLOPE,BETA_PLUS10_MINUS_BETA_MINUS10,Basic F-18 zero-controls centered beta finite difference,0,-0.20,,0.005730,-0.630254,0.183346,-0.833654,-0.054717,0.056150,20,[C(+10deg)-C(-10deg)]/(20deg in radians),DERIVED_MATCHED_GRID_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_BASIC_F18_BETA_CENTERED_SLOPE,BETA_PLUS10_MINUS_BETA_MINUS10,Basic F-18 zero-controls centered beta finite difference,0,-0.10,,0.002865,-0.372423,0.088808,-0.796411,-0.054431,0.056436,20,[C(+10deg)-C(-10deg)]/(20deg in radians),DERIVED_MATCHED_GRID_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_BASIC_F18_BETA_CENTERED_SLOPE,BETA_PLUS10_MINUS_BETA_MINUS10,Basic F-18 zero-controls centered beta finite difference,0,-0.05,,0.000000,-0.229183,0.042972,-0.773493,-0.055863,0.057296,20,[C(+10deg)-C(-10deg)]/(20deg in radians),DERIVED_MATCHED_GRID_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_BASIC_F18_BETA_CENTERED_SLOPE,BETA_PLUS10_MINUS_BETA_MINUS10,Basic F-18 zero-controls centered beta finite difference,0,-0.03,,-0.002865,-0.171887,0.020054,-0.773493,-0.056436,0.057296,20,[C(+10deg)-C(-10deg)]/(20deg in radians),DERIVED_MATCHED_GRID_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_BASIC_F18_BETA_CENTERED_SLOPE,BETA_PLUS10_MINUS_BETA_MINUS10,Basic F-18 zero-controls centered beta finite difference,0,0.00,1,-0.005730,-0.114592,-0.005730,-0.805006,-0.056436,0.058728,20,[C(+10deg)-C(-10deg)]/(20deg in radians),DERIVED_MATCHED_GRID_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_BASIC_F18_BETA_CENTERED_SLOPE,BETA_PLUS10_MINUS_BETA_MINUS10,Basic F-18 zero-controls centered beta finite difference,0,0.00,2,-0.008594,-0.143239,0.002865,-0.813600,-0.056150,0.059301,20,[C(+10deg)-C(-10deg)]/(20deg in radians),DERIVED_MATCHED_GRID_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_BASIC_F18_BETA_CENTERED_SLOPE,BETA_PLUS10_MINUS_BETA_MINUS10,Basic F-18 zero-controls centered beta finite difference,0,0.03,,-0.011459,-0.057296,-0.014324,-0.750575,-0.056150,0.057009,20,[C(+10deg)-C(-10deg)]/(20deg in radians),DERIVED_MATCHED_GRID_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_BASIC_F18_BETA_CENTERED_SLOPE,BETA_PLUS10_MINUS_BETA_MINUS10,Basic F-18 zero-controls centered beta finite difference,0,0.05,,-0.002865,-0.028648,-0.011459,-0.747710,-0.057009,0.057582,20,[C(+10deg)-C(-10deg)]/(20deg in radians),DERIVED_MATCHED_GRID_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
