source_id,derived_from,configuration,alpha_deg,omega_b_over_2V,zero_replicate,CA_mid_minus_beta0,CN_mid_minus_beta0,Cm_mid_minus_beta0,CY_mid_minus_beta0,Cl_mid_minus_beta0,Cn_mid_minus_beta0,derivation,qa_status
NASA_CR_3608_DERIVED_BASIC_F18_BETA_MIDPOINT_RESIDUAL,BETA_PLUS10_BETA_MINUS10_AND_BETA0,Basic F-18 zero-controls beta midpoint consistency residual,0,-0.40,,-0.007000,0.005000,-0.002500,0.014000,-0.002350,-0.001300,0.5*(C(+10deg)+C(-10deg))-C(0deg),DERIVED_MATCHED_GRID_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_BASIC_F18_BETA_MIDPOINT_RESIDUAL,BETA_PLUS10_BETA_MINUS10_AND_BETA0,Basic F-18 zero-controls beta midpoint consistency residual,0,-0.30,,-0.007000,-0.005000,-0.002500,0.016000,-0.001300,-0.001450,0.5*(C(+10deg)+C(-10deg))-C(0deg),DERIVED_MATCHED_GRID_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_BASIC_F18_BETA_MIDPOINT_RESIDUAL,BETA_PLUS10_BETA_MINUS10_AND_BETA0,Basic F-18 zero-controls beta midpoint consistency residual,0,-0.20,,-0.006000,0.010000,-0.003000,0.017500,0.000250,-0.001300,0.5*(C(+10deg)+C(-10deg))-C(0deg),DERIVED_MATCHED_GRID_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_BASIC_F18_BETA_MIDPOINT_RESIDUAL,BETA_PLUS10_BETA_MINUS10_AND_BETA0,Basic F-18 zero-controls beta midpoint consistency residual,0,-0.10,,-0.005500,0.005000,-0.002500,0.017000,0.000900,-0.000650,0.5*(C(+10deg)+C(-10deg))-C(0deg),DERIVED_MATCHED_GRID_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_BASIC_F18_BETA_MIDPOINT_RESIDUAL,BETA_PLUS10_BETA_MINUS10_AND_BETA0,Basic F-18 zero-controls beta midpoint consistency residual,0,-0.05,,-0.004000,0.000000,-0.003500,0.016000,0.001050,-0.000600,0.5*(C(+10deg)+C(-10deg))-C(0deg),DERIVED_MATCHED_GRID_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_BASIC_F18_BETA_MIDPOINT_RESIDUAL,BETA_PLUS10_BETA_MINUS10_AND_BETA0,Basic F-18 zero-controls beta midpoint consistency residual,0,-0.03,,-0.003500,0.000000,-0.002500,0.007000,0.000950,-0.000300,0.5*(C(+10deg)+C(-10deg))-C(0deg),DERIVED_MATCHED_GRID_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_BASIC_F18_BETA_MIDPOINT_RESIDUAL,BETA_PLUS10_BETA_MINUS10_AND_BETA0,Basic F-18 zero-controls beta midpoint consistency residual,0,0.00,1,-0.004000,0.010000,-0.005000,0.005500,0.001150,0.001050,0.5*(C(+10deg)+C(-10deg))-C(0deg),DERIVED_MATCHED_GRID_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_BASIC_F18_BETA_MIDPOINT_RESIDUAL,BETA_PLUS10_BETA_MINUS10_AND_BETA0,Basic F-18 zero-controls beta midpoint consistency residual,0,0.00,2,-0.007500,0.015000,-0.003500,0.008000,0.001400,0.001150,0.5*(C(+10deg)+C(-10deg))-C(0deg),DERIVED_MATCHED_GRID_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_BASIC_F18_BETA_MIDPOINT_RESIDUAL,BETA_PLUS10_BETA_MINUS10_AND_BETA0,Basic F-18 zero-controls beta midpoint consistency residual,0,0.03,,-0.006000,-0.010000,0.000500,0.002000,0.000400,0.000450,0.5*(C(+10deg)+C(-10deg))-C(0deg),DERIVED_MATCHED_GRID_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_BASIC_F18_BETA_MIDPOINT_RESIDUAL,BETA_PLUS10_BETA_MINUS10_AND_BETA0,Basic F-18 zero-controls beta midpoint consistency residual,0,0.05,,-0.002500,-0.005000,0.005000,0.001500,0.000550,0.000650,0.5*(C(+10deg)+C(-10deg))-C(0deg),DERIVED_MATCHED_GRID_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_BASIC_F18_BETA_MIDPOINT_RESIDUAL,BETA_PLUS10_BETA_MINUS10_AND_BETA0,Basic F-18 zero-controls beta midpoint consistency residual,0,0.10,,-0.004000,0.000000,0.012000,-0.000500,0.000800,0.000950,0.5*(C(+10deg)+C(-10deg))-C(0deg),DERIVED_MATCHED_GRID_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_BASIC_F18_BETA_MIDPOINT_RESIDUAL,BETA_PLUS10_BETA_MINUS10_AND_BETA0,Basic F-18 zero-controls beta midpoint consistency residual,0,0.20,,-0.000500,-0.005000,0.029500,-0.001500,0.001150,0.001100,0.5*(C(+10deg)+C(-10deg))-C(0deg),DERIVED_MATCHED_GRID_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_BASIC_F18_BETA_MIDPOINT_RESIDUAL,BETA_PLUS10_BETA_MINUS10_AND_BETA0,Basic F-18 zero-controls beta midpoint consistency residual,0,0.30,,0.000500,-0.000000,0.055500,-0.004500,0.001800,0.000250,0.5*(C(+10deg)+C(-10deg))-C(0deg),DERIVED_MATCHED_GRID_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_BASIC_F18_BETA_MIDPOINT_RESIDUAL,BETA_PLUS10_BETA_MINUS10_AND_BETA0,Basic F-18 zero-controls beta midpoint consistency residual,0,0.40,,0.002500,0.000000,0.080000,-0.015000,0.002150,-0.001200,0.5*(C(+10deg)+C(-10deg))-C(0deg),DERIVED_MATCHED_GRID_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_BASIC_F18_BETA_MIDPOINT_RESIDUAL,BETA_PLUS10_BETA_MINUS10_AND_BETA0,Basic F-18 zero-controls beta midpoint consistency residual,5,-0.40,,-0.008000,0.005000,-0.010500,0.009000,-0.001650,0.001200,0.5*(C(+10deg)+C(-10deg))-C(0deg),DERIVED_MATCHED_GRID_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_BASIC_F18_BETA_MIDPOINT_RESIDUAL,BETA_PLUS10_BETA_MINUS10_AND_BETA0,Basic F-18 zero-controls beta midpoint consistency residual,5,-0.30,,-0.009500,0.005000,-0.005000,0.017500,-0.001350,0.000800,0.5*(C(+10deg)+C(-10deg))-C(0deg),DERIVED_MATCHED_GRID_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_BASIC_F18_BETA_MIDPOINT_RESIDUAL,BETA_PLUS10_BETA_MINUS10_AND_BETA0,Basic F-18 zero-controls beta midpoint consistency residual,5,-0.20,,-0.008000,0.005000,-0.005500,0.023000,-0.000900,0.000650,0.5*(C(+10deg)+C(-10deg))-C(0deg),DERIVED_MATCHED_GRID_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_BASIC_F18_BETA_MIDPOINT_RESIDUAL,BETA_PLUS10_BETA_MINUS10_AND_BETA0,Basic F-18 zero-controls beta midpoint consistency residual,5,-0.10,,-0.006500,0.015000,-0.004500,0.018000,0.000200,0.000550,0.5*(C(+10deg)+C(-10deg))-C(0deg),DERIVED_MATCHED_GRID_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
