source_id,derived_from,configuration,beta_deg,horizontal_tail_deg,alpha_deg,omega_b_over_2V,zero_replicate,dCA_horizontal,dCN_horizontal,dCm_horizontal,dCY_horizontal,dCl_horizontal,dCn_horizontal,derivation,qa_status
NASA_CR_3608_DERIVED_HORIZONTAL_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_HORIZONTAL_DH0_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1,"F-18 horizontal-tail incremental contribution from component buildup",0,0,0,-0.40,,0.001,-0.03,-0.047,0.011,0.0054,0.0014,BODY_WING_LEX_HORIZONTAL_MINUS_BODY_WING_LEX,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_HORIZONTAL_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_HORIZONTAL_DH0_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1,"F-18 horizontal-tail incremental contribution from component buildup",0,0,0,-0.30,,0.001,-0.04,-0.038,-0.008,0.0033,0.0009,BODY_WING_LEX_HORIZONTAL_MINUS_BODY_WING_LEX,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_HORIZONTAL_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_HORIZONTAL_DH0_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1,"F-18 horizontal-tail incremental contribution from component buildup",0,0,0,-0.20,,-0.002,-0.01,-0.029,-0.007,0.0016,0.0009,BODY_WING_LEX_HORIZONTAL_MINUS_BODY_WING_LEX,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_HORIZONTAL_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_HORIZONTAL_DH0_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1,"F-18 horizontal-tail incremental contribution from component buildup",0,0,0,-0.10,,-0.004,0.01,-0.023,-0.012,0.0008,0.0009,BODY_WING_LEX_HORIZONTAL_MINUS_BODY_WING_LEX,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_HORIZONTAL_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_HORIZONTAL_DH0_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1,"F-18 horizontal-tail incremental contribution from component buildup",0,0,0,-0.05,,-0.003,0.00,-0.024,-0.021,0.0007,0.0006,BODY_WING_LEX_HORIZONTAL_MINUS_BODY_WING_LEX,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_HORIZONTAL_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_HORIZONTAL_DH0_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1,"F-18 horizontal-tail incremental contribution from component buildup",0,0,0,0.00,1,-0.002,0.00,-0.025,-0.015,0.0004,0.0003,BODY_WING_LEX_HORIZONTAL_MINUS_BODY_WING_LEX,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_HORIZONTAL_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_HORIZONTAL_DH0_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1,"F-18 horizontal-tail incremental contribution from component buildup",0,0,0,0.00,2,-0.004,-0.01,-0.024,-0.021,0.0005,0.0003,BODY_WING_LEX_HORIZONTAL_MINUS_BODY_WING_LEX,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_HORIZONTAL_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_HORIZONTAL_DH0_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1,"F-18 horizontal-tail incremental contribution from component buildup",0,0,0,0.05,,0.003,-0.04,-0.029,-0.023,0.0008,-0.0004,BODY_WING_LEX_HORIZONTAL_MINUS_BODY_WING_LEX,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_HORIZONTAL_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_HORIZONTAL_DH0_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1,"F-18 horizontal-tail incremental contribution from component buildup",0,0,0,0.10,,0.002,-0.03,-0.030,-0.023,0.0007,-0.0005,BODY_WING_LEX_HORIZONTAL_MINUS_BODY_WING_LEX,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_HORIZONTAL_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_HORIZONTAL_DH0_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1,"F-18 horizontal-tail incremental contribution from component buildup",0,0,0,0.20,,0.000,-0.04,-0.031,-0.017,0.0006,-0.0004,BODY_WING_LEX_HORIZONTAL_MINUS_BODY_WING_LEX,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_HORIZONTAL_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_HORIZONTAL_DH0_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1,"F-18 horizontal-tail incremental contribution from component buildup",0,0,0,0.30,,-0.001,-0.04,-0.034,-0.004,0.0005,-0.0002,BODY_WING_LEX_HORIZONTAL_MINUS_BODY_WING_LEX,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_HORIZONTAL_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_HORIZONTAL_DH0_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1,"F-18 horizontal-tail incremental contribution from component buildup",0,0,0,0.40,,-0.007,-0.03,-0.037,0.008,-0.0010,0.0002,BODY_WING_LEX_HORIZONTAL_MINUS_BODY_WING_LEX,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_HORIZONTAL_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_HORIZONTAL_DH0_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1,"F-18 horizontal-tail incremental contribution from component buildup",0,0,5,-0.40,,0.002,0.00,-0.081,0.012,0.0050,0.0020,BODY_WING_LEX_HORIZONTAL_MINUS_BODY_WING_LEX,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_HORIZONTAL_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_HORIZONTAL_DH0_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1,"F-18 horizontal-tail incremental contribution from component buildup",0,0,5,-0.30,,0.004,-0.01,-0.077,-0.006,0.0052,0.0010,BODY_WING_LEX_HORIZONTAL_MINUS_BODY_WING_LEX,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_HORIZONTAL_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_HORIZONTAL_DH0_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1,"F-18 horizontal-tail incremental contribution from component buildup",0,0,5,-0.20,,-0.006,0.02,-0.064,-0.007,0.0028,0.0010,BODY_WING_LEX_HORIZONTAL_MINUS_BODY_WING_LEX,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_HORIZONTAL_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_HORIZONTAL_DH0_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1,"F-18 horizontal-tail incremental contribution from component buildup",0,0,5,-0.10,,-0.010,0.06,-0.056,-0.001,0.0012,0.0010,BODY_WING_LEX_HORIZONTAL_MINUS_BODY_WING_LEX,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
