source_id,derived_from,configuration,beta_deg,alpha_deg,omega_b_over_2V,zero_replicate,dCA_LEX,dCN_LEX,dCm_LEX,dCY_LEX,dCl_LEX,dCn_LEX,derivation,qa_status
NASA_CR_3608_DERIVED_LEX_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_BETA0_V0.1,"F-18 LEX incremental contribution from component buildup",0,0,-0.40,,0.017,-0.08,0.030,-0.048,-0.0053,0.0014,BODY_WING_LEX_MINUS_BODY_WING,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_LEX_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_BETA0_V0.1,"F-18 LEX incremental contribution from component buildup",0,0,-0.30,,0.018,-0.08,0.023,-0.036,-0.0036,0.0010,BODY_WING_LEX_MINUS_BODY_WING,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_LEX_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_BETA0_V0.1,"F-18 LEX incremental contribution from component buildup",0,0,-0.20,,0.016,-0.06,0.022,-0.027,-0.0018,0.0010,BODY_WING_LEX_MINUS_BODY_WING,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_LEX_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_BETA0_V0.1,"F-18 LEX incremental contribution from component buildup",0,0,-0.10,,0.016,-0.06,0.021,-0.020,-0.0007,0.0011,BODY_WING_LEX_MINUS_BODY_WING,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_LEX_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_BETA0_V0.1,"F-18 LEX incremental contribution from component buildup",0,0,-0.05,,0.017,-0.06,0.020,-0.017,-0.0002,0.0012,BODY_WING_LEX_MINUS_BODY_WING,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_LEX_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_BETA0_V0.1,"F-18 LEX incremental contribution from component buildup",0,0,0.00,1,0.007,0.03,0.022,-0.016,0.0804,0.0014,BODY_WING_LEX_MINUS_BODY_WING,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_LEX_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_BETA0_V0.1,"F-18 LEX incremental contribution from component buildup",0,0,0.00,2,0.009,0.00,0.022,-0.021,0.0002,0.0014,BODY_WING_LEX_MINUS_BODY_WING,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_LEX_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_BETA0_V0.1,"F-18 LEX incremental contribution from component buildup",0,0,0.05,,0.018,-0.13,0.028,-0.035,0.0002,0.0025,BODY_WING_LEX_MINUS_BODY_WING,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_LEX_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_BETA0_V0.1,"F-18 LEX incremental contribution from component buildup",0,0,0.10,,0.019,-0.13,0.029,-0.032,0.0004,0.0027,BODY_WING_LEX_MINUS_BODY_WING,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_LEX_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_BETA0_V0.1,"F-18 LEX incremental contribution from component buildup",0,0,0.20,,0.016,-0.10,0.027,-0.028,0.0011,0.0030,BODY_WING_LEX_MINUS_BODY_WING,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_LEX_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_BETA0_V0.1,"F-18 LEX incremental contribution from component buildup",0,0,0.30,,0.014,-0.05,0.027,-0.020,0.0028,0.0036,BODY_WING_LEX_MINUS_BODY_WING,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_LEX_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_BETA0_V0.1,"F-18 LEX incremental contribution from component buildup",0,0,0.40,,0.016,-0.07,0.028,-0.025,0.0033,0.0042,BODY_WING_LEX_MINUS_BODY_WING,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_LEX_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_BETA0_V0.1,"F-18 LEX incremental contribution from component buildup",0,5,-0.40,,0.012,-0.04,0.065,-0.027,0.0001,0.0016,BODY_WING_LEX_MINUS_BODY_WING,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
