source_id,derived_from,configuration,beta_deg,alpha_deg,omega_b_over_2V,zero_replicate,dCA_wing,dCN_wing,dCm_wing,dCY_wing,dCl_wing,dCn_wing,derivation,qa_status
NASA_CR_3608_DERIVED_WING_INCREMENT,CR3608_ROTARY_BODY_WING_BETA0_V0.1 - CR3608_ROTARY_BODY_BETA0_V0.1,"F-18 Wing incremental contribution from component buildup",0,0,-0.40,,0.003,0.08,-0.004,-0.026,0.1362,0.0083,BODY_WING_MINUS_BODY,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_WING_INCREMENT,CR3608_ROTARY_BODY_WING_BETA0_V0.1 - CR3608_ROTARY_BODY_BETA0_V0.1,"F-18 Wing incremental contribution from component buildup",0,0,-0.30,,0.001,0.07,-0.001,-0.028,0.1064,0.0067,BODY_WING_MINUS_BODY,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_WING_INCREMENT,CR3608_ROTARY_BODY_WING_BETA0_V0.1 - CR3608_ROTARY_BODY_BETA0_V0.1,"F-18 Wing incremental contribution from component buildup",0,0,-0.20,,0.001,0.05,0.002,-0.025,0.0674,0.0044,BODY_WING_MINUS_BODY,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_WING_INCREMENT,CR3608_ROTARY_BODY_WING_BETA0_V0.1 - CR3608_ROTARY_BODY_BETA0_V0.1,"F-18 Wing incremental contribution from component buildup",0,0,-0.10,,0.004,0.05,-0.002,-0.020,0.0298,0.0017,BODY_WING_MINUS_BODY,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_WING_INCREMENT,CR3608_ROTARY_BODY_WING_BETA0_V0.1 - CR3608_ROTARY_BODY_BETA0_V0.1,"F-18 Wing incremental contribution from component buildup",0,0,-0.05,,0.004,0.05,-0.003,-0.019,0.0126,0.0007,BODY_WING_MINUS_BODY,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_WING_INCREMENT,CR3608_ROTARY_BODY_WING_BETA0_V0.1 - CR3608_ROTARY_BODY_BETA0_V0.1,"F-18 Wing incremental contribution from component buildup",0,0,0.00,1,0.011,-0.04,0.001,-0.021,-0.0836,0.0008,BODY_WING_MINUS_BODY,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_WING_INCREMENT,CR3608_ROTARY_BODY_WING_BETA0_V0.1 - CR3608_ROTARY_BODY_BETA0_V0.1,"F-18 Wing incremental contribution from component buildup",0,0,0.00,2,0.011,-0.01,-0.001,-0.016,-0.0036,0.0007,BODY_WING_MINUS_BODY,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_WING_INCREMENT,CR3608_ROTARY_BODY_WING_BETA0_V0.1 - CR3608_ROTARY_BODY_BETA0_V0.1,"F-18 Wing incremental contribution from component buildup",0,0,0.05,,0.000,0.13,-0.005,-0.002,-0.0195,-0.0003,BODY_WING_MINUS_BODY,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_WING_INCREMENT,CR3608_ROTARY_BODY_WING_BETA0_V0.1 - CR3608_ROTARY_BODY_BETA0_V0.1,"F-18 Wing incremental contribution from component buildup",0,0,0.10,,-0.002,0.13,-0.006,0.005,-0.0369,-0.0010,BODY_WING_MINUS_BODY,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_WING_INCREMENT,CR3608_ROTARY_BODY_WING_BETA0_V0.1 - CR3608_ROTARY_BODY_BETA0_V0.1,"F-18 Wing incremental contribution from component buildup",0,0,0.20,,-0.001,0.09,-0.002,0.003,-0.0748,-0.0019,BODY_WING_MINUS_BODY,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_WING_INCREMENT,CR3608_ROTARY_BODY_WING_BETA0_V0.1 - CR3608_ROTARY_BODY_BETA0_V0.1,"F-18 Wing incremental contribution from component buildup",0,0,0.30,,-0.001,0.07,-0.002,0.001,-0.1124,-0.0014,BODY_WING_MINUS_BODY,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_WING_INCREMENT,CR3608_ROTARY_BODY_WING_BETA0_V0.1 - CR3608_ROTARY_BODY_BETA0_V0.1,"F-18 Wing incremental contribution from component buildup",0,0,0.40,,0.002,0.09,-0.003,0.010,-0.1403,-0.0002,BODY_WING_MINUS_BODY,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_WING_INCREMENT,CR3608_ROTARY_BODY_WING_BETA0_V0.1 - CR3608_ROTARY_BODY_BETA0_V0.1,"F-18 Wing incremental contribution from component buildup",0,5,-0.40,,0.004,0.30,-0.037,-0.032,0.1201,0.0058,BODY_WING_MINUS_BODY,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_WING_INCREMENT,CR3608_ROTARY_BODY_WING_BETA0_V0.1 - CR3608_ROTARY_BODY_BETA0_V0.1,"F-18 Wing incremental contribution from component buildup",0,5,-0.30,,0.001,0.33,-0.040,-0.027,0.0906,0.0041,BODY_WING_MINUS_BODY,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_WING_INCREMENT,CR3608_ROTARY_BODY_WING_BETA0_V0.1 - CR3608_ROTARY_BODY_BETA0_V0.1,"F-18 Wing incremental contribution from component buildup",0,5,-0.20,,-0.002,0.35,-0.041,-0.025,0.0648,0.0035,BODY_WING_MINUS_BODY,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_WING_INCREMENT,CR3608_ROTARY_BODY_WING_BETA0_V0.1 - CR3608_ROTARY_BODY_BETA0_V0.1,"F-18 Wing incremental contribution from component buildup",0,5,-0.10,,-0.006,0.34,-0.031,-0.022,0.0312,0.0028,BODY_WING_MINUS_BODY,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_WING_INCREMENT,CR3608_ROTARY_BODY_WING_BETA0_V0.1 - CR3608_ROTARY_BODY_BETA0_V0.1,"F-18 Wing incremental contribution from component buildup",0,5,-0.05,,-0.008,0.34,-0.029,-0.019,0.0138,0.0015,BODY_WING_MINUS_BODY,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_WING_INCREMENT,CR3608_ROTARY_BODY_WING_BETA0_V0.1 - CR3608_ROTARY_BODY_BETA0_V0.1,"F-18 Wing incremental contribution from component buildup",0,5,0.00,1,-0.008,0.35,-0.029,-0.011,-0.0028,-0.0001,BODY_WING_MINUS_BODY,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_WING_INCREMENT,CR3608_ROTARY_BODY_WING_BETA0_V0.1 - CR3608_ROTARY_BODY_BETA0_V0.1,"F-18 Wing incremental contribution from component buildup",0,5,0.00,2,-0.008,0.35,-0.029,-0.010,-0.0025,0.0002,BODY_WING_MINUS_BODY,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_WING_INCREMENT,CR3608_ROTARY_BODY_WING_BETA0_V0.1 - CR3608_ROTARY_BODY_BETA0_V0.1,"F-18 Wing incremental contribution from component buildup",0,5,0.05,,-0.007,0.36,-0.032,-0.010,-0.0195,-0.0012,BODY_WING_MINUS_BODY,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_WING_INCREMENT,CR3608_ROTARY_BODY_WING_BETA0_V0.1 - CR3608_ROTARY_BODY_BETA0_V0.1,"F-18 Wing incremental contribution from component buildup",0,5,0.10,,-0.006,0.36,-0.033,-0.006,-0.0369,-0.0016,BODY_WING_MINUS_BODY,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_WING_INCREMENT,CR3608_ROTARY_BODY_WING_BETA0_V0.1 - CR3608_ROTARY_BODY_BETA0_V0.1,"F-18 Wing incremental contribution from component buildup",0,5,0.20,,-0.004,0.35,-0.043,-0.006,-0.0699,-0.0014,BODY_WING_MINUS_BODY,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_WING_INCREMENT,CR3608_ROTARY_BODY_WING_BETA0_V0.1 - CR3608_ROTARY_BODY_BETA0_V0.1,"F-18 Wing incremental contribution from component buildup",0,5,0.30,,0.000,0.33,-0.042,-0.010,-0.0991,-0.0006,BODY_WING_MINUS_BODY,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
