source_id,configuration,beta_deg,delta_H_deg,delta_a_deg,delta_r_deg,delta_d_deg,delta_f_deg,source_pdf_page,appendix_page,alpha_deg,omega_b_over_2V,zero_replicate,CA,CN,Cm,CY,Cl,Cn,qa_status
NASA_CR_3608,Basic F-18,10,0,0,0,0,0,103,A40,0,-0.40,,0.045,-0.05,0.067,-0.185,0.1280,0.0190,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,10,0,0,0,0,0,103,A40,0,-0.30,,0.050,-0.03,0.046,-0.169,0.0960,0.0164,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,10,0,0,0,0,0,103,A40,0,-0.20,,0.053,0.01,0.034,-0.149,0.0611,0.0138,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,10,0,0,0,0,0,103,A40,0,-0.10,,0.056,0.08,0.019,-0.136,0.0234,0.0116,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,10,0,0,0,0,0,103,A40,0,-0.05,,0.055,0.11,0.012,-0.128,0.0053,0.0112,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,10,0,0,0,0,0,103,A40,0,-0.03,,0.055,0.13,0.008,-0.129,-0.0037,0.0110,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,10,0,0,0,0,0,103,A40,0,0.00,1,0.055,0.09,0.000,-0.141,-0.0119,0.0110,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,10,0,0,0,0,0,103,A40,0,0.00,2,0.055,0.08,0.001,-0.145,-0.0117,0.0108,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,10,0,0,0,0,0,103,A40,0,0.03,,0.053,0.13,0.002,-0.134,-0.0197,0.0104,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,10,0,0,0,0,0,103,A40,0,0.05,,0.056,0.13,0.007,-0.134,-0.0286,0.0104,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
