source_id,configuration,beta_deg,delta_H_deg,delta_a_deg,delta_r_deg,delta_d_deg,delta_f_deg,source_pdf_page,appendix_page,alpha_deg,omega_b_over_2V,zero_replicate,CA,CN,Cm,CY,Cl,Cn,qa_status
NASA_CR_3608,Basic F-18,-10,0,0,0,0,0,110,A47,0,-0.40,,0.051,0.36,-0.078,0.151,0.1515,0.0006,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,-10,0,0,0,0,0,110,A47,0,-0.30,,0.050,0.28,-0.055,0.147,0.1212,-0.0027,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,-10,0,0,0,0,0,110,A47,0,-0.20,,0.051,0.23,-0.030,0.142,0.0802,-0.0058,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,-10,0,0,0,0,0,110,A47,0,-0.10,,0.055,0.21,-0.012,0.142,0.0424,-0.0081,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,-10,0,0,0,0,0,110,A47,0,-0.05,,0.055,0.19,-0.003,0.142,0.0248,-0.0088,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,-10,0,0,0,0,0,110,A47,0,-0.03,,0.056,0.19,0.001,0.141,0.0160,-0.0090,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,-10,0,0,0,0,0,110,A47,0,0.00,1,0.057,0.13,0.002,0.140,0.0078,-0.0095,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,-10,0,0,0,0,0,110,A47,0,0.00,2,0.058,0.13,0.000,0.139,0.0079,-0.0099,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,-10,0,0,0,0,0,110,A47,0,0.03,,0.057,0.15,0.007,0.128,-0.0001,-0.0095,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,-10,0,0,0,0,0,110,A47,0,0.05,,0.057,0.14,0.011,0.127,-0.0087,-0.0097,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,-10,0,0,0,0,0,110,A47,0,0.10,,0.058,0.10,0.016,0.125,-0.0263,-0.0103,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,-10,0,0,0,0,0,110,A47,0,0.20,,0.066,0.00,0.031,0.121,-0.0654,-0.0121,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
