source_id,configuration,beta_deg,source_pdf_page,appendix_page,alpha_deg,omega_b_over_2V,zero_replicate,CA,CN,Cm,CY,Cl,Cn,qa_status
NASA_CR_3608,F-18 Body,0,65,A2,0,-0.40,,0.003,0.19,0.036,0.020,-0.0002,0.0044,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,65,A2,0,-0.30,,0.001,0.18,0.030,0.023,-0.0003,0.0033,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,65,A2,0,-0.20,,-0.000,0.18,0.028,0.026,-0.0004,0.0024,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,65,A2,0,-0.10,,-0.002,0.19,0.028,0.027,-0.0005,0.0016,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,65,A2,0,-0.05,,-0.001,0.19,0.028,0.027,-0.0006,0.0012,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,65,A2,0,0.00,1,0.009,0.11,0.015,0.012,0.0000,-0.0005,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,65,A2,0,0.00,2,0.008,0.11,0.016,0.012,0.0000,-0.0004,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,65,A2,0,0.05,,0.001,0.18,0.026,0.030,-0.0007,-0.0002,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,65,A2,0,0.10,,0.002,0.17,0.026,0.022,-0.0007,-0.0007,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,65,A2,0,0.20,,0.004,0.16,0.024,0.019,-0.0008,-0.0019,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,65,A2,0,0.30,,0.007,0.14,0.023,0.009,-0.0008,-0.0035,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,65,A2,0,0.40,,0.007,0.14,0.028,-0.002,-0.0011,-0.0050,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,65,A2,5,-0.40,,0.007,0.23,0.062,0.026,0.0001,0.0067,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,65,A2,5,-0.30,,0.005,0.21,0.054,0.029,-0.0001,0.0050,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,65,A2,5,-0.20,,0.002,0.22,0.052,0.031,-0.0004,0.0034,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,65,A2,5,-0.10,,0.000,0.22,0.051,0.033,-0.0005,0.0020,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,65,A2,5,-0.05,,-0.000,0.22,0.051,0.033,-0.0006,0.0014,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,65,A2,5,0.00,1,0.009,0.13,0.039,0.012,0.0000,-0.0003,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,65,A2,5,0.00,2,0.008,0.13,0.039,0.010,0.0000,-0.0004,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
