source_id,configuration,beta_deg,source_pdf_page_primary,appendix_page_primary,source_pdf_page_duplicate,appendix_page_duplicate,alpha_deg,omega_b_over_2V,zero_replicate,CA,CN,Cm,CY,Cl,Cn,qa_status
NASA_CR_3608,F-18 Body,10,70,A7,,,0,-0.40,,0.042,-0.12,0.013,-0.041,-0.0008,-0.0172,PAGE_IMAGE_CROSSCHECKED_SINGLE_APPENDIX_OCCURRENCE
NASA_CR_3608,F-18 Body,10,70,A7,,,0,-0.30,,0.040,-0.11,0.011,-0.035,-0.0006,-0.0171,PAGE_IMAGE_CROSSCHECKED_SINGLE_APPENDIX_OCCURRENCE
NASA_CR_3608,F-18 Body,10,70,A7,,,0,-0.20,,0.040,-0.11,0.010,-0.035,-0.0003,-0.0174,PAGE_IMAGE_CROSSCHECKED_SINGLE_APPENDIX_OCCURRENCE
NASA_CR_3608,F-18 Body,10,70,A7,,,0,-0.10,,0.038,-0.09,0.013,-0.030,-0.0001,-0.0177,PAGE_IMAGE_CROSSCHECKED_SINGLE_APPENDIX_OCCURRENCE
NASA_CR_3608,F-18 Body,10,70,A7,,,0,0.00,1,0.035,-0.07,0.013,-0.027,-0.0008,-0.0185,PAGE_IMAGE_CROSSCHECKED_SINGLE_APPENDIX_OCCURRENCE
NASA_CR_3608,F-18 Body,10,70,A7,,,0,0.00,2,0.036,-0.08,0.012,-0.030,-0.0006,-0.0184,PAGE_IMAGE_CROSSCHECKED_SINGLE_APPENDIX_OCCURRENCE
NASA_CR_3608,F-18 Body,10,70,A7,,,0,0.10,,0.033,-0.04,0.020,-0.021,-0.0012,-0.0189,PAGE_IMAGE_CROSSCHECKED_SINGLE_APPENDIX_OCCURRENCE
NASA_CR_3608,F-18 Body,10,70,A7,,,0,0.20,,0.035,-0.05,0.018,-0.031,-0.0015,-0.0203,PAGE_IMAGE_CROSSCHECKED_SINGLE_APPENDIX_OCCURRENCE
NASA_CR_3608,F-18 Body,10,70,A7,,,0,0.30,,0.037,-0.05,0.017,-0.046,-0.0019,-0.0225,PAGE_IMAGE_CROSSCHECKED_SINGLE_APPENDIX_OCCURRENCE
NASA_CR_3608,F-18 Body,10,70,A7,,,0,0.40,,0.038,-0.04,0.021,-0.057,-0.0023,-0.0255,PAGE_IMAGE_CROSSCHECKED_SINGLE_APPENDIX_OCCURRENCE
NASA_CR_3608,F-18 Body,10,70,A7,,,5,-0.40,,0.029,-0.08,0.018,-0.035,0.0005,-0.0149,PAGE_IMAGE_CROSSCHECKED_SINGLE_APPENDIX_OCCURRENCE
NASA_CR_3608,F-18 Body,10,70,A7,,,5,-0.30,,0.030,-0.08,0.015,-0.029,0.0004,-0.0155,PAGE_IMAGE_CROSSCHECKED_SINGLE_APPENDIX_OCCURRENCE
NASA_CR_3608,F-18 Body,10,70,A7,,,5,-0.20,,0.029,-0.08,0.018,-0.031,0.0002,-0.0162,PAGE_IMAGE_CROSSCHECKED_SINGLE_APPENDIX_OCCURRENCE
NASA_CR_3608,F-18 Body,10,70,A7,,,5,-0.10,,0.025,-0.06,0.025,-0.030,-0.0003,-0.0168,PAGE_IMAGE_CROSSCHECKED_SINGLE_APPENDIX_OCCURRENCE
NASA_CR_3608,F-18 Body,10,70,A7,,,5,0.00,1,0.024,-0.04,0.023,-0.028,-0.0009,-0.0182,PAGE_IMAGE_CROSSCHECKED_SINGLE_APPENDIX_OCCURRENCE
NASA_CR_3608,F-18 Body,10,70,A7,,,5,0.00,2,0.026,-0.05,0.022,-0.032,-0.0007,-0.0185,PAGE_IMAGE_CROSSCHECKED_SINGLE_APPENDIX_OCCURRENCE
NASA_CR_3608,F-18 Body,10,70,A7,,,5,0.10,,0.023,-0.03,0.030,-0.033,-0.0013,-0.0196,PAGE_IMAGE_CROSSCHECKED_SINGLE_APPENDIX_OCCURRENCE
NASA_CR_3608,F-18 Body,10,70,A7,,,5,0.20,,0.026,-0.04,0.026,-0.047,-0.0016,-0.0217,PAGE_IMAGE_CROSSCHECKED_SINGLE_APPENDIX_OCCURRENCE
NASA_CR_3608,F-18 Body,10,70,A7,,,5,0.30,,0.027,-0.04,0.027,-0.062,-0.0020,-0.0241,PAGE_IMAGE_CROSSCHECKED_SINGLE_APPENDIX_OCCURRENCE
NASA_CR_3608,F-18 Body,10,70,A7,,,5,0.40,,0.027,-0.02,0.032,-0.079,-0.0028,-0.0274,PAGE_IMAGE_CROSSCHECKED_SINGLE_APPENDIX_OCCURRENCE
NASA_CR_3608,F-18 Body,10,70,A7,,,10,-0.40,,0.036,-0.02,0.030,-0.037,0.0001,-0.0124,PAGE_IMAGE_CROSSCHECKED_SINGLE_APPENDIX_OCCURRENCE
NASA_CR_3608,F-18 Body,10,70,A7,,,10,-0.30,,0.033,-0.04,0.028,-0.046,0.0001,-0.0141,PAGE_IMAGE_CROSSCHECKED_SINGLE_APPENDIX_OCCURRENCE
NASA_CR_3608,F-18 Body,10,70,A7,,,10,-0.20,,0.031,-0.03,0.031,-0.041,0.0001,-0.0153,PAGE_IMAGE_CROSSCHECKED_SINGLE_APPENDIX_OCCURRENCE
NASA_CR_3608,F-18 Body,10,70,A7,,,10,-0.10,,0.026,-0.01,0.039,-0.041,0.0004,-0.0165,PAGE_IMAGE_CROSSCHECKED_SINGLE_APPENDIX_OCCURRENCE
NASA_CR_3608,F-18 Body,10,70,A7,,,10,0.00,1,0.026,-0.01,0.039,-0.060,0.0009,-0.0188,PAGE_IMAGE_CROSSCHECKED_SINGLE_APPENDIX_OCCURRENCE
NASA_CR_3608,F-18 Body,10,70,A7,,,10,0.00,2,0.027,-0.01,0.039,-0.061,0.0009,-0.0189,PAGE_IMAGE_CROSSCHECKED_SINGLE_APPENDIX_OCCURRENCE
NASA_CR_3608,F-18 Body,10,70,A7,,,10,0.10,,0.022,0.02,0.051,-0.065,0.0017,-0.0203,PAGE_IMAGE_CROSSCHECKED_SINGLE_APPENDIX_OCCURRENCE
NASA_CR_3608,F-18 Body,10,70,A7,,,10,0.20,,0.025,0.01,0.050,-0.088,0.0022,-0.0228,PAGE_IMAGE_CROSSCHECKED_SINGLE_APPENDIX_OCCURRENCE
NASA_CR_3608,F-18 Body,10,70,A7,,,10,0.30,,0.026,0.01,0.050,-0.102,0.0028,-0.0267,PAGE_IMAGE_CROSSCHECKED_SINGLE_APPENDIX_OCCURRENCE
NASA_CR_3608,F-18 Body,10,70,A7,,,10,0.40,,0.024,0.02,0.050,-0.109,0.0038,-0.0332,PAGE_IMAGE_CROSSCHECKED_SINGLE_APPENDIX_OCCURRENCE
NASA_CR_3608,F-18 Body,10,70,A7,,,15,-0.40,,0.044,0.06,0.042,-0.044,-0.0014,-0.0114,PAGE_IMAGE_CROSSCHECKED_SINGLE_APPENDIX_OCCURRENCE
NASA_CR_3608,F-18 Body,10,70,A7,,,15,-0.30,,0.042,0.04,0.045,-0.058,-0.0012,-0.0128,PAGE_IMAGE_CROSSCHECKED_SINGLE_APPENDIX_OCCURRENCE
NASA_CR_3608,F-18 Body,10,70,A7,,,15,-0.20,,0.038,0.04,0.052,-0.078,-0.0012,-0.0139,PAGE_IMAGE_CROSSCHECKED_SINGLE_APPENDIX_OCCURRENCE
NASA_CR_3608,F-18 Body,10,70,A7,,,15,-0.10,,0.033,0.04,0.062,-0.088,-0.0014,-0.0147,PAGE_IMAGE_CROSSCHECKED_SINGLE_APPENDIX_OCCURRENCE
NASA_CR_3608,F-18 Body,10,70,A7,,,15,0.00,1,0.034,0.05,0.064,-0.103,-0.0018,-0.0163,PAGE_IMAGE_CROSSCHECKED_SINGLE_APPENDIX_OCCURRENCE
NASA_CR_3608,F-18 Body,10,70,A7,,,15,0.00,2,0.035,0.05,0.062,-0.104,-0.0017,-0.0166,PAGE_IMAGE_CROSSCHECKED_SINGLE_APPENDIX_OCCURRENCE
NASA_CR_3608,F-18 Body,10,70,A7,,,15,0.10,,0.029,0.09,0.078,-0.113,-0.0023,-0.0181,PAGE_IMAGE_CROSSCHECKED_SINGLE_APPENDIX_OCCURRENCE
NASA_CR_3608,F-18 Body,10,70,A7,,,15,0.20,,0.033,0.08,0.078,-0.145,-0.0030,-0.0228,PAGE_IMAGE_CROSSCHECKED_SINGLE_APPENDIX_OCCURRENCE
NASA_CR_3608,F-18 Body,10,70,A7,,,15,0.30,,0.032,0.09,0.073,-0.157,-0.0039,-0.0319,PAGE_IMAGE_CROSSCHECKED_SINGLE_APPENDIX_OCCURRENCE
NASA_CR_3608,F-18 Body,10,70,A7,,,15,0.40,,0.029,0.09,0.070,-0.152,-0.0053,-0.0444,PAGE_IMAGE_CROSSCHECKED_SINGLE_APPENDIX_OCCURRENCE
NASA_CR_3608,F-18 Body,10,70,A7,,,20,-0.40,,0.041,0.14,0.016,-0.005,-0.0017,-0.0094,PAGE_IMAGE_CROSSCHECKED_SINGLE_APPENDIX_OCCURRENCE
NASA_CR_3608,F-18 Body,10,70,A7,,,20,-0.30,,0.036,0.12,0.023,-0.043,-0.0015,-0.0122,PAGE_IMAGE_CROSSCHECKED_SINGLE_APPENDIX_OCCURRENCE
NASA_CR_3608,F-18 Body,10,70,A7,,,20,-0.20,,0.032,0.11,0.031,-0.075,-0.0014,-0.0137,PAGE_IMAGE_CROSSCHECKED_SINGLE_APPENDIX_OCCURRENCE
NASA_CR_3608,F-18 Body,10,70,A7,,,20,-0.10,,0.026,0.12,0.047,-0.105,-0.0015,-0.0142,PAGE_IMAGE_CROSSCHECKED_SINGLE_APPENDIX_OCCURRENCE
NASA_CR_3608,F-18 Body,10,70,A7,,,20,0.00,1,0.029,0.10,0.049,-0.133,-0.0018,-0.0164,PAGE_IMAGE_CROSSCHECKED_SINGLE_APPENDIX_OCCURRENCE
NASA_CR_3608,F-18 Body,10,70,A7,,,20,0.00,2,0.030,0.10,0.048,-0.134,-0.0017,-0.0163,PAGE_IMAGE_CROSSCHECKED_SINGLE_APPENDIX_OCCURRENCE
NASA_CR_3608,F-18 Body,10,70,A7,,,20,0.10,,0.023,0.13,0.061,-0.151,-0.0023,-0.0190,PAGE_IMAGE_CROSSCHECKED_SINGLE_APPENDIX_OCCURRENCE
NASA_CR_3608,F-18 Body,10,70,A7,,,20,0.20,,0.026,0.13,0.059,-0.176,-0.0025,-0.0242,PAGE_IMAGE_CROSSCHECKED_SINGLE_APPENDIX_OCCURRENCE
NASA_CR_3608,F-18 Body,10,70,A7,,,20,0.30,,0.026,0.13,0.057,-0.191,-0.0034,-0.0343,PAGE_IMAGE_CROSSCHECKED_SINGLE_APPENDIX_OCCURRENCE
NASA_CR_3608,F-18 Body,10,70,A7,,,20,0.40,,0.023,0.14,0.055,-0.184,-0.0053,-0.0538,PAGE_IMAGE_CROSSCHECKED_SINGLE_APPENDIX_OCCURRENCE
NASA_CR_3608,F-18 Body,10,71,A8,,,25,-0.40,,0.037,0.25,0.029,0.009,-0.0026,-0.0023,PAGE_IMAGE_CROSSCHECKED_SINGLE_APPENDIX_OCCURRENCE
NASA_CR_3608,F-18 Body,10,71,A8,,,25,-0.30,,0.036,0.21,0.024,-0.030,-0.0025,-0.0104,PAGE_IMAGE_CROSSCHECKED_SINGLE_APPENDIX_OCCURRENCE
NASA_CR_3608,F-18 Body,10,71,A8,,,25,-0.20,,0.034,0.17,0.033,-0.093,-0.0021,-0.0123,PAGE_IMAGE_CROSSCHECKED_SINGLE_APPENDIX_OCCURRENCE
NASA_CR_3608,F-18 Body,10,71,A8,,,25,-0.10,,0.032,0.19,0.030,-0.072,-0.0025,-0.0208,PAGE_IMAGE_CROSSCHECKED_SINGLE_APPENDIX_OCCURRENCE
NASA_CR_3608,F-18 Body,10,71,A8,,,25,0.00,1,0.033,0.15,0.043,-0.164,-0.0024,-0.0218,PAGE_IMAGE_CROSSCHECKED_SINGLE_APPENDIX_OCCURRENCE
NASA_CR_3608,F-18 Body,10,71,A8,,,25,0.00,2,0.030,0.17,0.045,-0.155,-0.0027,-0.0215,PAGE_IMAGE_CROSSCHECKED_SINGLE_APPENDIX_OCCURRENCE
NASA_CR_3608,F-18 Body,10,71,A8,,,25,0.10,,0.025,0.19,0.054,-0.183,-0.0025,-0.0248,PAGE_IMAGE_CROSSCHECKED_SINGLE_APPENDIX_OCCURRENCE
NASA_CR_3608,F-18 Body,10,71,A8,,,25,0.20,,0.026,0.19,0.049,-0.182,-0.0030,-0.0371,PAGE_IMAGE_CROSSCHECKED_SINGLE_APPENDIX_OCCURRENCE
NASA_CR_3608,F-18 Body,10,71,A8,,,25,0.30,,0.025,0.20,0.049,-0.192,-0.0039,-0.0506,PAGE_IMAGE_CROSSCHECKED_SINGLE_APPENDIX_OCCURRENCE
NASA_CR_3608,F-18 Body,10,71,A8,,,25,0.40,,0.022,0.21,0.051,-0.217,-0.0053,-0.0665,PAGE_IMAGE_CROSSCHECKED_SINGLE_APPENDIX_OCCURRENCE
NASA_CR_3608,F-18 Body,10,71,A8,,,30,-0.40,,0.021,0.25,0.045,-0.037,0.0019,0.0123,PAGE_IMAGE_CROSSCHECKED_SINGLE_APPENDIX_OCCURRENCE
NASA_CR_3608,F-18 Body,10,71,A8,,,30,-0.30,,0.028,0.24,0.038,-0.064,0.0022,-0.0015,PAGE_IMAGE_CROSSCHECKED_SINGLE_APPENDIX_OCCURRENCE
NASA_CR_3608,F-18 Body,10,71,A8,,,30,-0.20,,0.030,0.23,0.039,-0.112,0.0025,-0.0129,PAGE_IMAGE_CROSSCHECKED_SINGLE_APPENDIX_OCCURRENCE
NASA_CR_3608,F-18 Body,10,71,A8,,,30,-0.10,,0.033,0.26,0.036,-0.060,0.0027,-0.0226,PAGE_IMAGE_CROSSCHECKED_SINGLE_APPENDIX_OCCURRENCE
NASA_CR_3608,F-18 Body,10,71,A8,,,30,0.00,1,0.032,0.28,0.022,-0.062,0.0038,-0.0380,PAGE_IMAGE_CROSSCHECKED_SINGLE_APPENDIX_OCCURRENCE
NASA_CR_3608,F-18 Body,10,71,A8,,,30,0.00,2,0.030,0.28,0.023,-0.062,0.0039,-0.0373,PAGE_IMAGE_CROSSCHECKED_SINGLE_APPENDIX_OCCURRENCE
NASA_CR_3608,F-18 Body,10,71,A8,,,30,0.10,,0.021,0.27,0.051,-0.175,0.0039,-0.0427,PAGE_IMAGE_CROSSCHECKED_SINGLE_APPENDIX_OCCURRENCE
