source_id,configuration,beta_deg,source_pdf_page,appendix_page,alpha_deg,omega_b_over_2V,zero_replicate,CA,CN,Cm,CY,Cl,Cn,qa_status
NASA_CR_3608,F-18 Body, Wing,0,76,A13,0,-0.40,,0.006,0.27,0.032,-0.006,0.1360,0.0127,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,76,A13,0,-0.30,,0.002,0.25,0.029,-0.005,0.1061,0.0100,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,76,A13,0,-0.20,,0.001,0.23,0.030,0.001,0.0670,0.0068,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,76,A13,0,-0.10,,0.002,0.24,0.026,0.007,0.0293,0.0033,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,76,A13,0,-0.05,,0.003,0.24,0.025,0.008,0.0120,0.0019,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,76,A13,0,0.00,1,0.020,0.07,0.016,-0.009,-0.0836,0.0003,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,76,A13,0,0.00,2,0.019,0.10,0.015,-0.004,-0.0036,0.0003,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,76,A13,0,0.05,,0.001,0.31,0.021,0.028,-0.0202,-0.0005,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,76,A13,0,0.10,,0.000,0.30,0.020,0.027,-0.0376,-0.0017,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,76,A13,0,0.20,,0.003,0.25,0.022,0.022,-0.0756,-0.0038,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,76,A13,0,0.30,,0.006,0.21,0.021,0.010,-0.1132,-0.0049,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,76,A13,0,0.40,,0.009,0.23,0.025,0.008,-0.1414,-0.0052,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,76,A13,5,-0.40,,0.011,0.53,0.025,-0.006,0.1202,0.0125,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,76,A13,5,-0.30,,0.006,0.54,0.014,0.002,0.0905,0.0091,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,76,A13,5,-0.20,,0.000,0.57,0.011,0.006,0.0644,0.0069,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,76,A13,5,-0.10,,-0.006,0.56,0.020,0.011,0.0307,0.0048,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,76,A13,5,-0.05,,-0.008,0.56,0.022,0.014,0.0132,0.0029,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,76,A13,5,0.00,1,0.001,0.48,0.010,0.001,-0.0028,-0.0004,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,76,A13,5,0.00,2,0.000,0.48,0.010,0.000,-0.0025,-0.0002,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,76,A13,5,0.05,,-0.007,0.58,0.024,0.022,-0.0205,-0.0010,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,76,A13,5,0.10,,-0.004,0.57,0.021,0.023,-0.0379,-0.0023,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,76,A13,5,0.20,,0.002,0.56,0.010,0.021,-0.0708,-0.0038,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,76,A13,5,0.30,,0.008,0.52,0.012,0.010,-0.1000,-0.0048,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,76,A13,5,0.40,,0.013,0.50,0.019,0.002,-0.1285,-0.0057,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,76,A13,10,-0.40,,0.010,0.87,0.006,0.033,0.0873,0.0171,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,76,A13,10,-0.30,,0.005,0.85,0.003,0.031,0.0590,0.0114,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,76,A13,10,-0.20,,-0.004,0.85,0.003,0.029,0.0365,0.0064,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,76,A13,10,-0.10,,-0.009,0.89,-0.005,0.029,0.0177,0.0031,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,76,A13,10,-0.05,,-0.009,0.89,-0.010,0.027,0.0083,0.0020,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,76,A13,10,0.00,1,-0.001,0.81,-0.022,0.002,0.0005,0.0001,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,76,A13,10,0.00,2,-0.003,0.81,-0.022,0.006,-0.0007,-0.0001,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,76,A13,10,0.05,,-0.012,0.86,-0.002,0.020,-0.0109,-0.0004,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,76,A13,10,0.10,,-0.009,0.83,0.005,0.013,-0.0208,-0.0004,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,76,A13,10,0.20,,0.000,0.78,0.005,0.004,-0.0411,-0.0030,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,76,A13,10,0.30,,0.009,0.78,0.001,-0.006,-0.0644,-0.0066,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,76,A13,10,0.40,,0.016,0.82,-0.002,-0.018,-0.0943,-0.0100,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,76,A13,15,-0.40,,0.011,1.10,-0.025,0.093,0.0587,0.0246,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,76,A13,15,-0.30,,0.008,1.07,-0.031,0.078,0.0325,0.0169,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,76,A13,15,-0.20,,0.004,1.08,-0.039,0.066,0.0144,0.0111,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,76,A13,15,-0.10,,-0.003,1.09,-0.033,0.048,0.0056,0.0057,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,76,A13,15,-0.05,,-0.005,1.11,-0.035,0.041,0.0025,0.0032,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,76,A13,15,0.00,1,0.008,1.02,-0.048,0.015,0.0030,0.0000,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,76,A13,15,0.00,2,0.009,1.01,-0.046,0.017,0.0035,-0.0005,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,76,A13,15,0.05,,0.002,1.07,-0.035,0.019,-0.0003,-0.0015,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,76,A13,15,0.10,,0.003,1.05,-0.035,0.011,-0.0036,-0.0036,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,76,A13,15,0.20,,0.008,1.05,-0.038,-0.018,-0.0156,-0.0080,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,76,A13,15,0.30,,0.013,1.04,-0.033,-0.038,-0.0371,-0.0122,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,76,A13,15,0.40,,0.018,1.08,-0.036,-0.062,-0.0634,-0.0170,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,77,A14,20,-0.40,,0.009,1.32,-0.063,0.151,0.0343,0.0329,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,77,A14,20,-0.30,,0.012,1.25,-0.069,0.138,0.0148,0.0247,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,77,A14,20,-0.20,,0.013,1.20,-0.074,0.107,0.0060,0.0155,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,77,A14,20,-0.10,,0.011,1.15,-0.062,0.064,0.0063,0.0054,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
