source_id,configuration,beta_deg,source_pdf_page,appendix_page,alpha_deg,omega_b_over_2V,zero_replicate,CA,CN,Cm,CY,Cl,Cn,qa_status
NASA_CR_3608,"F-18 Body, Wing, LEX",0,81,A18,0,-0.40,,0.023,0.19,0.062,-0.054,0.1307,0.0141,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX",0,81,A18,0,-0.30,,0.020,0.17,0.052,-0.041,0.1025,0.0110,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX",0,81,A18,0,-0.20,,0.017,0.17,0.052,-0.026,0.0652,0.0078,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX",0,81,A18,0,-0.10,,0.018,0.18,0.047,-0.013,0.0286,0.0044,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX",0,81,A18,0,-0.05,,0.020,0.18,0.045,-0.009,0.0118,0.0031,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX",0,81,A18,0,0.00,1,0.027,0.10,0.038,-0.025,-0.0032,0.0017,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX",0,81,A18,0,0.00,2,0.028,0.10,0.037,-0.025,-0.0034,0.0017,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX",0,81,A18,0,0.05,,0.019,0.18,0.049,-0.007,-0.0200,0.0020,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX",0,81,A18,0,0.10,,0.019,0.17,0.049,-0.005,-0.0372,0.0010,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX",0,81,A18,0,0.20,,0.019,0.15,0.049,-0.006,-0.0745,-0.0008,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX",0,81,A18,0,0.30,,0.020,0.16,0.048,-0.010,-0.1104,-0.0013,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX",0,81,A18,0,0.40,,0.025,0.16,0.053,-0.017,-0.1381,-0.0010,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX",0,81,A18,5,-0.40,,0.023,0.49,0.090,-0.033,0.1203,0.0141,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX",0,81,A18,5,-0.30,,0.021,0.46,0.077,-0.029,0.0879,0.0104,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX",0,81,A18,5,-0.20,,0.017,0.47,0.071,-0.026,0.0602,0.0078,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX",0,81,A18,5,-0.10,,0.013,0.46,0.075,-0.024,0.0295,0.0056,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX",0,81,A18,5,-0.05,,0.011,0.45,0.077,-0.020,0.0129,0.0040,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
