source_id,configuration,beta_deg,horizontal_tail_deg,source_pdf_page,appendix_page,alpha_deg,omega_b_over_2V,zero_replicate,CA,CN,Cm,CY,Cl,Cn,qa_status
NASA_CR_3608,"F-18 Body, Wing, LEX, Horizontal",0,0,86,A23,0,-0.40,,0.024,0.16,0.015,-0.043,0.1361,0.0155,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Horizontal",0,0,86,A23,0,-0.30,,0.021,0.13,0.014,-0.049,0.1058,0.0119,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Horizontal",0,0,86,A23,0,-0.20,,0.015,0.16,0.023,-0.033,0.0668,0.0087,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Horizontal",0,0,86,A23,0,-0.10,,0.014,0.19,0.024,-0.025,0.0294,0.0053,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Horizontal",0,0,86,A23,0,-0.05,,0.017,0.18,0.021,-0.030,0.0125,0.0037,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Horizontal",0,0,86,A23,0,0.00,1,0.025,0.10,0.013,-0.040,-0.0028,0.0020,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Horizontal",0,0,86,A23,0,0.00,2,0.024,0.09,0.013,-0.046,-0.0029,0.0020,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Horizontal",0,0,86,A23,0,0.05,,0.022,0.14,0.020,-0.030,-0.0192,0.0016,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Horizontal",0,0,86,A23,0,0.10,,0.021,0.14,0.019,-0.028,-0.0365,0.0005,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Horizontal",0,0,86,A23,0,0.20,,0.019,0.11,0.018,-0.023,-0.0739,-0.0012,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Horizontal",0,0,86,A23,0,0.30,,0.019,0.12,0.014,-0.014,-0.1099,-0.0015,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Horizontal",0,0,86,A23,0,0.40,,0.018,0.13,0.016,-0.009,-0.1391,-0.0008,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Horizontal",0,0,86,A23,5,-0.40,,0.025,0.49,0.009,-0.021,0.1253,0.0161,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Horizontal",0,0,86,A23,5,-0.30,,0.025,0.45,0.000,-0.035,0.0931,0.0114,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
