source_id,configuration,beta_deg,rudder_deg,source_pdf_page,appendix_page,alpha_deg,omega_b_over_2V,zero_replicate,CA,CN,Cm,CY,Cl,Cn,qa_status
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,91,A28,0,-0.40,,0.020,0.23,0.055,-0.026,0.1341,0.0080,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,91,A28,0,-0.30,,0.022,0.19,0.044,-0.019,0.1048,0.0062,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,91,A28,0,-0.20,,0.026,0.14,0.044,-0.015,0.0672,0.0038,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,91,A28,0,-0.10,,0.029,0.15,0.039,-0.005,0.0303,0.0012,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,91,A28,0,-0.05,,0.029,0.15,0.036,-0.004,0.0131,0.0002,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,91,A28,0,0.00,1,0.032,0.10,0.031,-0.010,-0.0026,-0.0007,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,91,A28,0,0.00,2,0.031,0.12,0.031,-0.007,-0.0028,-0.0010,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,91,A28,0,0.05,,0.036,0.17,0.042,0.002,-0.0197,-0.0002,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,91,A28,0,0.10,,0.035,0.15,0.042,0.002,-0.0371,-0.0011,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,91,A28,0,0.20,,0.034,0.14,0.043,0.003,-0.0747,-0.0030,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,91,A28,0,0.30,,0.034,0.14,0.041,-0.006,-0.1113,-0.0037,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,91,A28,0,0.40,,0.037,0.14,0.046,-0.015,-0.1395,-0.0035,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,91,A28,5,-0.40,,0.015,0.53,0.076,-0.060,0.1190,0.0172,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,91,A28,5,-0.30,,0.016,0.50,0.065,-0.033,0.0881,0.0121,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,91,A28,5,-0.20,,0.015,0.51,0.061,-0.016,0.0602,0.0081,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,91,A28,5,-0.10,,0.012,0.50,0.063,-0.002,0.0294,0.0044,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,91,A28,5,-0.05,,0.011,0.49,0.064,0.004,0.0129,0.0023,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,91,A28,5,0.00,1,0.022,0.41,0.050,-0.006,-0.0020,-0.0014,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,91,A28,5,0.00,2,0.022,0.40,0.051,-0.009,-0.0016,-0.0014,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,91,A28,5,0.05,,0.017,0.49,0.060,0.014,-0.0180,-0.0026,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,91,A28,5,0.10,,0.019,0.50,0.057,0.021,-0.0343,-0.0044,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,91,A28,5,0.20,,0.022,0.49,0.053,0.026,-0.0637,-0.0070,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,91,A28,5,0.30,,0.025,0.47,0.056,0.029,-0.0942,-0.0098,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,91,A28,5,0.40,,0.026,0.48,0.061,0.030,-0.1271,-0.0131,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,91,A28,10,-0.40,,0.018,0.85,0.101,-0.093,0.1039,0.0267,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,91,A28,10,-0.30,,0.018,0.80,0.098,-0.059,0.0707,0.0180,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,91,A28,10,-0.20,,0.014,0.78,0.100,-0.033,0.0442,0.0110,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,91,A28,10,-0.10,,0.009,0.79,0.100,-0.010,0.0227,0.0050,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,91,A28,10,-0.05,,0.006,0.80,0.098,0.002,0.0112,0.0023,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,91,A28,10,0.00,1,0.017,0.73,0.084,-0.005,0.0003,-0.0012,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,91,A28,10,0.00,2,0.017,0.72,0.084,-0.005,-0.0007,-0.0013,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,91,A28,10,0.05,,0.014,0.81,0.098,0.023,-0.0128,-0.0026,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,91,A28,10,0.10,,0.016,0.80,0.098,0.030,-0.0243,-0.0052,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,91,A28,10,0.20,,0.022,0.78,0.094,0.042,-0.0482,-0.0104,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,91,A28,10,0.30,,0.027,0.78,0.089,0.053,-0.0762,-0.0153,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,91,A28,10,0.40,,0.028,0.82,0.088,0.059,-0.1104,-0.0212,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,91,A28,15,-0.40,,0.010,1.17,0.149,-0.126,0.0968,0.0363,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
