mach,alt_0k,alt_10k,alt_20k,alt_30k,alt_35k,alt_40k,alt_50k,unit,source,anchor,page_anchor,provenance,rounding_lbf,notes
0.0,15600,12000,8400,5400,4000,3000,1600,lbf,NASA-TM-4240,Figure 4,PDF p14 / printed p10,DIGITIZED_PRIMARY_FIGURE,100,±150 lbf estimated digitization uncertainty; modified HARV nozzle; standard day; do not treat as original exact table
0.2,16100,12500,8700,5600,4100,3100,1800,lbf,NASA-TM-4240,Figure 4,PDF p14 / printed p10,DIGITIZED_PRIMARY_FIGURE,100,±150 lbf estimated digitization uncertainty; modified HARV nozzle; standard day; do not treat as original exact table
0.4,18100,14100,9800,6500,4800,3700,2300,lbf,NASA-TM-4240,Figure 4,PDF p14 / printed p10,DIGITIZED_PRIMARY_FIGURE,100,±150 lbf estimated digitization uncertainty; modified HARV nozzle; standard day; do not treat as original exact table
0.6,20300,15700,11400,7900,5800,4500,2700,lbf,NASA-TM-4240,Figure 4,PDF p14 / printed p10,DIGITIZED_PRIMARY_FIGURE,100,±150 lbf estimated digitization uncertainty; modified HARV nozzle; standard day; do not treat as original exact table
0.8,23300,18400,13500,9400,7400,5800,3400,lbf,NASA-TM-4240,Figure 4,PDF p14 / printed p10,DIGITIZED_PRIMARY_FIGURE,100,±150 lbf estimated digitization uncertainty; modified HARV nozzle; standard day; do not treat as original exact table
0.9,23900,19900,14800,10400,8300,6500,3800,lbf,NASA-TM-4240,Figure 4,PDF p14 / printed p10,DIGITIZED_PRIMARY_FIGURE,100,±150 lbf estimated digitization uncertainty; modified HARV nozzle; standard day; do not treat as original exact table
1.0,24500,21400,16200,11700,9200,7300,4300,lbf,NASA-TM-4240,Figure 4,PDF p14 / printed p10,DIGITIZED_PRIMARY_FIGURE,100,±150 lbf estimated digitization uncertainty; modified HARV nozzle; standard day; do not treat as original exact table
1.1,25500,23100,17800,12900,10400,8300,4900,lbf,NASA-TM-4240,Figure 4,PDF p14 / printed p10,DIGITIZED_PRIMARY_FIGURE,100,±150 lbf estimated digitization uncertainty; modified HARV nozzle; standard day; do not treat as original exact table
1.2,26700,24800,19400,14200,11700,9300,5500,lbf,NASA-TM-4240,Figure 4,PDF p14 / printed p10,DIGITIZED_PRIMARY_FIGURE,100,±150 lbf estimated digitization uncertainty; modified HARV nozzle; standard day; do not treat as original exact table
1.4,29400,26800,22600,17200,14400,11500,6800,lbf,NASA-TM-4240,Figure 4,PDF p14 / printed p10,DIGITIZED_PRIMARY_FIGURE,100,±150 lbf estimated digitization uncertainty; modified HARV nozzle; standard day; do not treat as original exact table
1.6,32200,29000,24500,20400,17400,13900,8300,lbf,NASA-TM-4240,Figure 4,PDF p14 / printed p10,DIGITIZED_PRIMARY_FIGURE,100,±150 lbf estimated digitization uncertainty; modified HARV nozzle; standard day; do not treat as original exact table
1.8,35900,33600,26800,22200,20000,16200,9600,lbf,NASA-TM-4240,Figure 4,PDF p14 / printed p10,DIGITIZED_PRIMARY_FIGURE,100,±150 lbf estimated digitization uncertainty; modified HARV nozzle; standard day; do not treat as original exact table
