mach,altitude_ft,max_ab_gross_thrust_lbf_digitized,digitization_uncertainty_lbf
0.0,0,15800,750
0.0,10000,12300,750
0.0,20000,8800,750
0.0,30000,5600,750
0.0,35000,4400,750
0.0,40000,3300,750
0.0,50000,1800,750
0.2,0,16300,750
0.2,10000,12700,750
0.2,20000,9000,750
0.2,30000,5800,750
0.2,35000,4600,750
0.2,40000,3400,750
0.2,50000,1900,750
0.4,0,18300,750
0.4,10000,14300,750
0.4,20000,10000,750
0.4,30000,6800,750
0.4,35000,5200,750
0.4,40000,4000,750
0.4,50000,2300,750
0.6,0,20400,750
0.6,10000,16000,750
0.6,20000,11800,750
0.6,30000,8200,750
0.6,35000,6100,750
0.6,40000,4800,750
0.6,50000,2800,750
0.8,0,23500,750
0.8,10000,18500,750
0.8,20000,13800,750
0.8,30000,9700,750
0.8,35000,7400,750
0.8,40000,5900,750
0.8,50000,3600,750
0.9,0,24100,750
0.9,10000,20000,750
0.9,20000,15000,750
0.9,30000,10800,750
0.9,35000,8300,750
0.9,40000,6700,750
0.9,50000,4000,750
1.0,0,24700,750
1.0,10000,21600,750
1.0,20000,16500,750
1.0,30000,12000,750
1.0,35000,9300,750
1.0,40000,7600,750
1.0,50000,4400,750
1.1,0,25600,750
1.1,10000,23400,750
1.1,20000,18100,750
1.1,30000,13200,750
1.1,35000,10500,750
1.1,40000,8500,750
1.1,50000,5000,750
1.2,0,26800,750
1.2,10000,25000,750
1.2,20000,19500,750
1.2,30000,14500,750
1.2,35000,11900,750
1.2,40000,9500,750
1.2,50000,5700,750
1.4,0,29600,750
1.4,10000,27000,750
1.4,20000,22900,750
1.4,30000,17600,750
1.4,35000,14800,750
1.4,40000,11800,750
1.4,50000,7000,750
1.6,0,32300,750
1.6,10000,29100,750
1.6,20000,24700,750
1.6,30000,20500,750
1.6,35000,17600,750
1.6,40000,14100,750
1.6,50000,8500,750
1.8,0,35800,750
1.8,10000,33700,750
1.8,20000,26900,750
1.8,30000,22400,750
1.8,35000,20100,750
1.8,40000,16300,750
1.8,50000,9800,750
