source_id,title,report_number,publication_date,acquired_pdf_filename,pdf_pages,sha256,configuration_tag,classification,stable_url
NASA_TM_107601,"Simulation Model of a Twin-Tail, High Performance Airplane",NASA-TM-107601,1992-07,19920024293 (2).pdf,184,34ed8edd9452aed3afbd7677c3847b888ec4b234224e0dd016c114564f5bb9f3,NASA_F18BAS_BASIC_F18_OFP_8_3_3_TVC_OFF_CAPABLE,PRIMARY_EXACT,https://ntrs.nasa.gov/citations/19920024293
NASA_TM_110216,"Simulation Model of the F/A-18 High Angle-of-Attack Research Vehicle Utilized for the Design of Advanced Control Laws",NASA-TM-110216,1996-05,19960027892 (2).pdf,164,55ebc29f32152970b4117865299d16777c1b0a5cd760e75bde6979944e738f6c,NASA_F18_HARV_SIM_MULTI_PHASE,PRIMARY_EXACT,https://ntrs.nasa.gov/citations/19960027892
NASA_TP_97_206539,"Flight-Determined Subsonic Longitudinal Stability and Control Derivatives of the F-18 HARV With Thrust Vectoring",NASA/TP-97-206539,1997-12,19980007172.pdf,72,1905e23ca63d7d3e57153df2e168210bc74d8bbc5d071502ee89b44843dc5023,NASA_F18_HARV_160780_PHASE2_TVC_NASA0,PRIMARY_EXACT,https://ntrs.nasa.gov/citations/19980007172
NASA_CR_194838,"Determination of the Stability and Control Derivatives of the NASA F/A-18 HARV Using Flight Data",NASA-CR-194838,1993-12,19940020331.pdf,124,7ba84d9f3772f78c746bf60a838da7af3f630748b5158cc993df68b812204c81,NASA_F18_HARV_160780_PHASE2_TVC_OBES_1992,PRIMARY_EXACT,https://ntrs.nasa.gov/citations/19940020331
NASA_TM_4240,"A Simple Dynamic Engine Model for Use in a Real-Time Aircraft Simulation With Thrust Vectoring",NASA-TM-4240 / AIAA-90-2166,1990-10,19910009766.pdf,26,36d9d13d9fcd6e4dde0e79bf536bc1bb3f80084f66a54d34d28e1402178316ff,F404_GE_400_HARV_MODIFIED_NOZZLE_SIMPLE_ENGINE_MODEL,PRIMARY_EXACT,https://ntrs.nasa.gov/citations/19910009766
NASA_TM_4786,"Extraction of Lateral-Directional Stability and Control Derivatives for the Basic F-18 Aircraft at High Angles of Attack",NASA-TM-4786,1997-02,19970010502.pdf,42,1651c86eb109cad8043cdd9970256a4cf338b9c98b9303602fcd8b58b60f5c9f,NASA_F18_HARV_160780_PHASE1_BASIC,PRIMARY_EXACT,https://ntrs.nasa.gov/citations/19970010502
NASA_CR_3608,"Low Speed Rotary Aerodynamics of F-18 Configuration for 0 to 90 Degrees Angle of Attack - Test Results and Analysis",NASA-CR-3608,1984,19870001403.pdf,250,5d95e8b15654dafba13821a88947bdb6d5a0a444036e19cf5bfeee95f7585705,F18_1_10_SCALE_LANGLEY_ROTARY_BALANCE,PRIMARY_EXACT_MODEL_TEST,https://ntrs.nasa.gov/citations/19870001403
NASA_TM_4772,"An Overview of the NASA F-18 High Alpha Research Vehicle",NASA-TM-4772,1996-10,19970003009.pdf,42,c043eba6429035ff2267b8be596b2d8fff51504db56d486bc90e339439e56919,NASA_F18_HARV_MULTI_PHASE_OVERVIEW,PRIMARY_EXACT_CONFIGURATION,https://ntrs.nasa.gov/citations/19970003009
NASA_TM_4341,"Aircraft Ground Test and Subscale Model Results of Axial Thrust Loss Caused by Thrust Vectoring Using Turning Vanes",NASA-TM-4341,1992-01,19920007853.pdf,36,409b1226e77e305eaa00f2ec2358aba7977c5546f18aebfe279fad95a2171c8b,NASA_F18_HARV_PHASE2_TVC_GROUND_TEST,PRIMARY_EXACT,https://ntrs.nasa.gov/citations/19920007853
NTRS_20070031030,"Automated Simulation Updates based on Flight Data",NTRS-20070031030,2007,20070031030.pdf,17,5cfa6e311ca452730d425ceda0f179b8bdaf84de95ce84d013d59646d592e736,F18_HARV_AERO_DB_UPDATE_DEMONSTRATION,METHODOLOGY_RECONSTRUCTION_SUPPORT,https://ntrs.nasa.gov/citations/20070031030
NASA_CR_198052,"Estimating Engine Airflow in Gas-Turbine Powered Aircraft with Clean and Distorted Inlet Flows",NASA-CR-198052,1996-09,19970027377.pdf,80,229d5880dd2805d6821b28baeb8abfed9b1fe47d54b35a2ba07c1bcd51f8c6eb,NASA_F18_HARV_F404_INLET_AIRFLOW_CAMPAIGN,PRIMARY_EXACT,https://ntrs.nasa.gov/citations/19970027377
NTRS_19970012895,"Overview of HATP Experimental Aerodynamics Data for the Baseline F/A-18 Configuration",NTRS-19970012895,1996,19970012895.pdf,52,23d73248e33f8d16d70b7102cb20775fc5b40f9735e42370cc9cbc1f5c3aba9e,F18_HATP_BASELINE_AERO_SOURCE_GRAPH,PRIMARY_OVERVIEW,https://ntrs.nasa.gov/citations/19970012895
NASA_TM_104329,"Inlet Distortion for an F/A-18A Aircraft During Steady Aerodynamic Conditions up to 60 Degrees Angle of Attack",NASA-TM-104329,1996,19970022131.pdf,48,8c331f34123ac32d0c8afbc43f17abb38cf873a545fd16d289aaaada65901856,NASA_F18_HARV_F404_INLET_STEADY_CAMPAIGN,PRIMARY_EXACT,https://ntrs.nasa.gov/citations/19970022131
NASA_TP_2000_209033,"Results From F-18B Stability and Control Parameter Estimation Flight Tests at High Dynamic Pressures",NASA/TP-2000-209033,2000-11,20010002099.pdf,143,8963f512e2147bb07ded66a2970ef9a9cb837978aee96febbf06d980990bafdb,NASA_F18B_SRA_HIGH_Q_PID,PRIMARY_EXACT_SRA_FAMILY_CROSS_VALIDATION_FOR_HARV,https://ntrs.nasa.gov/citations/20010002099
